"","flag","year","species","clutch"
"1","462",2022,"herg","3"
"2","214",2022,"herg","3"
"3","505",2022,"herg","3"
"4","156",2022,"herg","3"
"5","94",2022,"herg","3"
"6","197",2022,"herg","3"
"7","756",2022,"coei","5"
"8","220",2022,"herg","3"
"9","791",2022,"coei","3"
"10","215",2022,"herg","1"
"11","15",2022,"herg","2"
"12","470",2022,"herg","3"
"13","643",2022,"herg","2"
"14","202",2022,"herg","3"
"15","378",2022,"herg","3"
"16","702",2022,"herg","3"
"17","578",2022,"herg","3"
"18","602",2022,"herg","3"
"19","271",2022,"herg","3"
"20","563",2022,"herg","3"
"21","154",2022,"herg","3"
"22","686",2022,"herg","3"
"23","411",2022,"herg","3"
"24","384",2022,"herg","3"
"25","194",2022,"herg","3"
"26","267",2022,"herg","3"
"27","798",2022,"herg","2"
"28","697",2022,"herg","3"
"29","788",2022,"herg","2"
"30","710",2022,"herg","3"
"31","126",2022,"herg","3"
"32","647",2022,"herg","3"
"33","500",2022,"herg","3"
"34","266",2022,"herg","3"
"35","390",2022,"herg","2"
"36","450",2022,"herg","3"
"37","629",2022,"herg","3"
"38","441",2022,"herg","3"
"39","794",2022,"herg","3"
"40","625",2022,"herg","3"
"41","205",2022,"herg","3"
"42","767",2022,"herg","2"
"43","491",2022,"herg","3"
"44","273",2022,"herg","3"
"45","799",2022,"herg","3"
"46","795",2022,"herg","2"
"47","432",2022,"herg","3"
"48","211",2022,"herg","3"
"49","796",2022,"herg","3"
"50","496",2022,"herg","1"
"51","210",2022,"herg","3"
"52","398",2022,"herg","3"
"53","131",2022,"herg","3"
"54","627",2022,"herg","3"
"55","488",2022,"herg","3"
"56","610",2022,"herg","3"
"57","704",2022,"herg","2"
"58","566",2022,"herg","3"
"59","345",2022,"herg","3"
"60","461",2022,"herg","2"
"61","208",2022,"herg","1"
"62","792",2022,"herg","2"
"63","544",2022,"herg","3"
"64","471",2022,"herg","2"
"65","720",2022,"herg","3"
"66","618",2022,"herg","2"
"67","279",2022,"herg","3"
"68","784",2022,"herg","3"
"69","473",2022,"herg","3"
"70","225",2022,"herg","3"
"71","397",2022,"herg","3"
"72","782",2022,"herg","4"
"73","632",2022,"herg","3"
"74","125",2022,"herg","3"
"75","501",2022,"herg","3"
"76","630",2022,"herg","3"
"77","113",2022,"herg","3"
"78","106",2022,"herg","3"
"79","623",2022,"herg","3"
"80","480",2022,"herg","2"
"81","206",2022,"herg","3"
"82","631",2022,"herg","3"
"83","489",2022,"herg","3"
"84","787",2022,"herg","1"
"85","608",2022,"herg","3"
"86","360",2022,"herg","2"
"87","508",2022,"herg","3"
"88","465",2022,"herg","3"
"89","268",2022,"herg","3"
"90","779",2022,"herg","2"
"91","382",2022,"herg","1"
"92","793",2022,"herg","2"
"93","665",2022,"herg","1"
"94","715",2022,"herg","3"
"95","283",2022,"herg","3"
"96","104",2022,"herg","3"
"97","485",2022,"herg","2"
"98","644",2022,"herg","2"
"99","492",2022,"herg","2"
"100","350",2022,"herg","1"
"101","276",2022,"herg","3"
"102","121",2022,"herg","3"
"103","371",2022,"herg","3"
"104","716",2022,"herg","2"
"105","646",2022,"herg","3"
"106","475",2022,"herg","3"
"107","343",2022,"herg","3"
"108","428",2022,"herg","3"
"109","638",2022,"herg","3"
"110","466",2022,"herg","3"
"111","370",2022,"herg","3"
"112","74",2022,"herg","3"
"113","611",2022,"herg","3"
"114","377",2022,"herg","3"
"115","510",2022,"herg","3"
"116","274",2022,"herg","2"
"117","459",2022,"herg","1"
"118","711",2022,"gbbg","2"
"119","317",2022,"herg","3"
"120","575",2022,"herg","3"
"121","84",2022,"herg","3"
"122","333",2022,"herg","3"
"123","316",2022,"herg","3"
"124","278",2022,"herg","3"
"125","542",2022,"herg","2"
"126","472",2022,"herg","3"
"127","565",2022,"herg","3"
"128","649",2022,"herg","3"
"129","127",2022,"herg","3"
"130","78",2022,"herg","3"
"131","280",2022,"herg","1"
"132","694",2022,"herg","2"
"133","243",2022,"herg","3"
"134","62",2022,"herg","3"
"135","199",2022,"herg","3"
"136","244",2022,"herg","2"
"137","246",2022,"herg","3"
"138","693",2022,"herg","3"
"139","551",2022,"herg","3"
"140","262",2022,"herg","2"
"141","336",2022,"gbbg","3"
"142","620",2022,"herg","3"
"143","105",2022,"herg","3"
"144","574",2022,"herg","3"
"145","260",2022,"herg","3"
"146","352",2022,"herg","3"
"147","91",2022,"herg","3"
"148","609",2022,"herg","3"
"149","245",2022,"herg","3"
"150","61",2022,"herg","2"
"151","69",2022,"herg","3"
"152","622",2022,"herg","3"
"153","556",2022,"coei","5"
"154","634",2022,"herg","1"
"155","218",2022,"herg","3"
