"","flag","clutch","location","year","species"
"1","801","1","gen shed","2017","gbbg"
"2","803","1",NA,"2017","gbbg"
"3","87","3",NA,"2017","herg"
"4","79","3",NA,"2017","herg"
"5","81","3",NA,"2017","herg"
"6","69","3",NA,"2017","herg"
"7","62","2",NA,"2017","herg"
"8","78","3",NA,"2017","herg"
"9","68","1",NA,"2017","herg"
"10","65","3",NA,"2017","herg"
"11","66","1",NA,"2017","herg"
"12","85","3",NA,"2017","herg"
"13","82","3",NA,"2017","herg"
"14","88","3",NA,"2017","herg"
"15","80","3","east of gen shed","2017","herg"
"16","28","3",NA,"2017","herg"
"17","37","3",NA,"2017","herg"
"18","3","3",NA,"2017","herg"
"19","47","3",NA,"2017","herg"
"20","30","3",NA,"2017","herg"
"21","89","3",NA,"2017","herg"
"22","32","3",NA,"2017","herg"
"23","47","3",NA,"2017","herg"
"24","61","3",NA,"2017","herg"
"25","7","3",NA,"2017","herg"
"26","29","3",NA,"2017","herg"
"27","95","3",NA,"2017","herg"
"28","27","3",NA,"2017","herg"
"29","92","3",NA,"2017","herg"
"30","2","3",NA,"2017","herg"
"31","59","3",NA,"2017","herg"
"32","31","3",NA,"2017","herg"
"33","17","3",NA,"2017","herg"
"34","49","3",NA,"2017","herg"
"35","34","1",NA,"2017","herg"
"36","289","3",NA,"2017","herg"
"37","229","1",NA,"2017","herg"
"38","228","3",NA,"2017","herg"
"39","97","3",NA,"2017","herg"
"40","55","2",NA,"2017","herg"
"41","46","3",NA,"2017","herg"
"42","11","3",NA,"2017","herg"
"43","226","3",NA,"2017","herg"
"44","20","2",NA,"2017","herg"
"45","33","3",NA,"2017","herg"
"46","52","2",NA,"2017","herg"
"47","72","3",NA,"2017","herg"
"48","290","2",NA,"2017","herg"
"49","26","3",NA,"2017","herg"
"50","12","3",NA,"2017","herg"
"51","56","3",NA,"2017","herg"
"52","22","3",NA,"2017","herg"
"53","45","3",NA,"2017","herg"
"54","16","3",NA,"2017","herg"
"55","261","2",NA,"2017","herg"
"56","91","3",NA,"2017","herg"
"57","25","3",NA,"2017","herg"
"58","74","3",NA,"2017","herg"
"59","93","3",NA,"2017","herg"
"60","24","3",NA,"2017","herg"
"61","21","3",NA,"2017","herg"
"62","1","3",NA,"2017","herg"
"63","44","3",NA,"2017","herg"
"64","73","3",NA,"2017","herg"
"65","8","3",NA,"2017","herg"
"66","256","2",NA,"2017","herg"
"67","53","2",NA,"2017","herg"
"68","90","3",NA,"2017","herg"
"69","14","3",NA,"2017","herg"
"70","91","3",NA,"2017","herg"
"71","71","3",NA,"2017","herg"
"72","38","3",NA,"2017","herg"
"73","42","3",NA,"2017","herg"
"74","15","3",NA,"2017","herg"
"75","43","2",NA,"2017","herg"
"76","54","3",NA,"2017","herg"
"77","40","1",NA,"2017","herg"
"78","292","2",NA,"2017","herg"
"79","48","3",NA,"2017","herg"
"80","36","3",NA,"2017","herg"
"81","19","2",NA,"2017","herg"
"82","39","3",NA,"2017","herg"
"83","23","3",NA,"2017","herg"
"84","41","2",NA,"2017","herg"
"85","225","2",NA,"2017","herg"
"86","272","3",NA,"2017","herg"
"87","201","3",NA,"2017","herg"
"88","57","3",NA,"2017","herg"
"89","223","3",NA,"2017","herg"
"90","233","2",NA,"2017","herg"
"91","244","3",NA,"2017","herg"
"92","251","1",NA,"2017","herg"
"93","51","2",NA,"2017","herg"
"94","204","3",NA,"2017","herg"
"95","224","2",NA,"2017","herg"
"96","248","3",NA,"2017","herg"
"97","250","3",NA,"2017","herg"
"98","208","3",NA,"2017","herg"
"99","249","3",NA,"2017","herg"
"100","241","3",NA,"2017","herg"
"101","58","3",NA,"2017","herg"
"102","213","3",NA,"2017","herg"
"103","13","3",NA,"2017","herg"
"104","240","2",NA,"2017","herg"
"105","237","3",NA,"2017","herg"
"106","203","3",NA,"2017","herg"
"107","227","3",NA,"2017","herg"
"108","210","3",NA,"2017","herg"
"109","255","3",NA,"2017","herg"
"110","94","3",NA,"2017","herg"
"111","63","1",NA,"2017","herg"
"112","221","3",NA,"2017","herg"
"113","245","2",NA,"2017","herg"
"114","70","1",NA,"2017","herg"
"115","293","1",NA,"2017","herg"
"116","207","3",NA,"2017","herg"
"117","96","2",NA,"2017","herg"
"118","273","3",NA,"2017","herg"
"119","269","3",NA,"2017","herg"
"120","147","2",NA,"2017","herg"
"121","161","3",NA,"2017","herg"
"122","260","3",NA,"2017","herg"
"123","175","3",NA,"2017","herg"
"124","214","2",NA,"2017","herg"
"125","174","3",NA,"2017","herg"
"126","36","3",NA,"2017","herg"
"127","185","3",NA,"2017","herg"
"128","158","2",NA,"2017","herg"
"129","86","2",NA,"2017","herg"
"130","191","3",NA,"2017","herg"
"131","18","3",NA,"2017","herg"
"132","155","3",NA,"2017","herg"
"133","247","3",NA,"2017","herg"
"134","64","3",NA,"2017","herg"
"135","179","3",NA,"2017","herg"
"136","159","3",NA,"2017","herg"
"137","205","3","almost puffin point","2017","herg"
"138","143","3",NA,"2017","herg"
"139","150","3",NA,"2017","herg"
"140","197","3",NA,"2017","herg"
"141","236","3",NA,"2017","herg"
"142","183","3",NA,"2017","herg"
"143","154","3",NA,"2017","herg"
"144","182","3",NA,"2017","herg"
"145","184","3",NA,"2017","herg"
"146","122","3",NA,"2017","herg"
"147","196","3",NA,"2017","herg"
"148","265","2",NA,"2017","herg"
"149","6","3",NA,"2017","herg"
"150","198","2",NA,"2017","herg"
"151","130","3",NA,"2017","herg"
"152","146","3",NA,"2017","herg"
"153","163","3",NA,"2017","herg"
"154","276","2","puffin point","2017","herg"
"155","193","3",NA,"2017","herg"
"156","140","3",NA,"2017","herg"
"157","162","3",NA,"2017","herg"
"158","281","3",NA,"2017","herg"
"159","164","3",NA,"2017","herg"
"160","189","2",NA,"2017","herg"
"161","173","3",NA,"2017","herg"
"162","824","2",NA,"2017","gbbg"
"163","190","3",NA,"2017","herg"
"164","151","3",NA,"2017","herg"
"165","168","3",NA,"2017","herg"
"166","253","3",NA,"2017","herg"
"167","84","3",NA,"2017","herg"
"168","109","3",NA,"2017","herg"
"169","195","1",NA,"2017","herg"
"170","129","1",NA,"2017","herg"
"171","110","1",NA,"2017","herg"
"172","192","2",NA,"2017","herg"
"173","123","1",NA,"2017","herg"
"174","107","3",NA,"2017","herg"
"175","172","3",NA,"2017","herg"
"176","262","3",NA,"2017","herg"
"177","75","2",NA,"2017","herg"
"178","111","3",NA,"2017","herg"
"179","116","3",NA,"2017","herg"
"180","171","3",NA,"2017","herg"
"181","114","3",NA,"2017","herg"
"182","129","2",NA,"2017","herg"
"183","170","1",NA,"2017","herg"
"184","177","3",NA,"2017","herg"
"185","188","4",NA,"2017","herg"
"186","106","2",NA,"2017","herg"
"187","133","3",NA,"2017","herg"
"188","149","3",NA,"2017","herg"
"189","142","3",NA,"2017","herg"
"190","117","3",NA,"2017","herg"
"191","104","1",NA,"2017","herg"
"192","178","3",NA,"2017","herg"
"193","181","3",NA,"2017","herg"
"194","124","1",NA,"2017","herg"
"195","128","3",NA,"2017","herg"
"196","153","3",NA,"2017","herg"
"197","118","2",NA,"2017","herg"
"198","101","3",NA,"2017","herg"
"199","283","3",NA,"2017","herg"
"200","132","2",NA,"2017","herg"
"201","165","2",NA,"2017","herg"
"202","105","3",NA,"2017","herg"
"203","211","3",NA,"2017","herg"
"204","246","3",NA,"2017","herg"
"205","166","3",NA,"2017","herg"
"206","199","3",NA,"2017","herg"
"207","134","2",NA,"2017","herg"
"208","180","2",NA,"2017","herg"
"209","139","3",NA,"2017","herg"
"210","187","3",NA,"2017","herg"
"211","102","3",NA,"2017","herg"
"212","141","3",NA,"2017","herg"
"213","137","1",NA,"2017","herg"
"214","126","3",NA,"2017","herg"
"215","144","3",NA,"2017","herg"
"216","135","3",NA,"2017","herg"
"217","287","3",NA,"2017","herg"
"218","138","3",NA,"2017","herg"
"219","112","3",NA,"2017","herg"
"220","295","3",NA,"2017","herg"
"221","267","3",NA,"2017","herg"
"222","277","3",NA,"2017","herg"
"223","298","3",NA,"2017","herg"
"224","284","2",NA,"2017","herg"
"225","257","3",NA,"2017","herg"
"226","103","3",NA,"2017","herg"
"227","119","2",NA,"2017","herg"
"228","115","3",NA,"2017","herg"
"229","145","3",NA,"2017","herg"
"230","206","2",NA,"2017","herg"
"231","234","3",NA,"2017","herg"
"232","219","3",NA,"2017","herg"
"233","259","3",NA,"2017","herg"
"234","218","3",NA,"2017","herg"
"235","297","3",NA,"2017","herg"
"236","136","3",NA,"2017","herg"
"237","186","3",NA,"2017","herg"
"238","275","2","solar panels","2017","herg"
"239","235","3",NA,"2017","herg"
"240","286","3",NA,"2017","herg"
"241","220","2",NA,"2017","herg"
"242","288","2",NA,"2017","herg"
"243","296","2",NA,"2017","herg"
"244","10","3",NA,"2017","herg"
"245","83","3","light heading east","2017","herg"
"246","291","3",NA,"2017","herg"
"247","307","3",NA,"2017","herg"
"248","351","2",NA,"2017","herg"
"249","274","3",NA,"2017","herg"
"250","304","3",NA,"2017","herg"
"251","324","3",NA,"2017","herg"
"252","373","3",NA,"2017","herg"
"253","306","3",NA,"2017","herg"
"254","370","2",NA,"2017","herg"
"255","77","3",NA,"2017","herg"
"256","285","3",NA,"2017","herg"
"257","152","3",NA,"2017","herg"
"258","217","3",NA,"2017","herg"
"259","270","3",NA,"2017","herg"
"260","125","3",NA,"2017","herg"
"261","268","3",NA,"2017","herg"
"262","339","2",NA,"2017","herg"
"263","176","3",NA,"2017","herg"
"264","5","3",NA,"2017","herg"
"265","239","3","weast","2017","herg"
"266","222","3",NA,"2017","herg"
"267","312","2",NA,"2017","herg"
"268","316","1",NA,"2017","herg"
"269","399","3",NA,"2017","herg"
"270","393","3",NA,"2017","herg"
"271","813","1",NA,"2017","gbbg"
"272","372","3",NA,"2017","herg"
"273","354","3",NA,"2017","herg"
"274","368","2",NA,"2017","herg"
"275","308","3",NA,"2017","herg"
"276","342","3",NA,"2017","herg"
"277","350","3",NA,"2017","herg"
"278","148","3",NA,"2017","herg"
"279","309","1",NA,"2017","herg"
"280","160","2",NA,"2017","herg"
"281","212","3",NA,"2017","herg"
"282","374","3",NA,"2017","herg"
"283","347","3",NA,"2017","herg"
"284","108","3",NA,"2017","herg"
"285","9","2",NA,"2017","herg"
"286","348","3",NA,"2017","herg"
"287","194","3",NA,"2017","herg"
"288","387","3",NA,"2017","herg"
"289","318","3",NA,"2017","herg"
"290","825","1",NA,"2017","gbbg"
"291","314","3",NA,"2017","herg"
"292","169","3",NA,"2017","herg"
"293","282","3",NA,"2017","herg"
"294","344","3",NA,"2017","herg"
"295","321","3",NA,"2017","herg"
"296","378","3",NA,"2017","herg"
"297","330","3",NA,"2017","herg"
"298","254","3",NA,"2017","herg"
"299","310","3",NA,"2017","herg"
"300","317","3",NA,"2017","herg"
"301","294","3",NA,"2017","herg"
"302","263","3",NA,"2017","herg"
"303","319","2",NA,"2017","herg"
"304","216","3",NA,"2017","herg"
"305","343","3",NA,"2017","herg"
"306","120","3",NA,"2017","herg"
"307","271","3",NA,"2017","herg"
"308","242","3",NA,"2017","herg"
"309","252","2",NA,"2017","herg"
"310","353","2","east field","2017","herg"
"311","381","2",NA,"2017","herg"
"312","379","2",NA,"2017","herg"
"313","156","3",NA,"2017","herg"
"314","361","3",NA,"2017","herg"
"315","302","3",NA,"2017","herg"
"316","338","3",NA,"2017","herg"
"317","279","3",NA,"2017","herg"
"318","299","3",NA,"2017","herg"
"319","303","3",NA,"2017","herg"
"320","202","3",NA,"2017","herg"
"321","300","3",NA,"2017","herg"
"322","315","3",NA,"2017","herg"
"323","131","2",NA,"2017","herg"
"324","232","3",NA,"2017","herg"
"325","375","3",NA,"2017","herg"
"326","243","3",NA,"2017","herg"
"327","392","3",NA,"2017","herg"
"328","336","3",NA,"2017","herg"
"329","346","3",NA,"2017","herg"
"330","313","3",NA,"2017","herg"
"331","127","3",NA,"2017","herg"
"332","359","3",NA,"2017","herg"
"333","76","3",NA,"2017","herg"
"334","360","3",NA,"2017","herg"
"335","333","3",NA,"2017","herg"
"336","264","2",NA,"2017","herg"
"337","113","3",NA,"2017","herg"
"338","397","3",NA,"2017","herg"
"339","812","empty",NA,"2017","gbbg"
"340","367","3",NA,"2017","herg"
"341","356","3",NA,"2017","herg"
"342","280","3",NA,"2017","herg"
"343","371","3",NA,"2017","herg"
"344","3239","3",NA,"2017","herg"
"345","473","3",NA,"2017","herg"
"346","362","1",NA,"2017","herg"
"347","266","3",NA,"2017","herg"
"348","323","3",NA,"2017","herg"
"349","238","3",NA,"2017","herg"
"350","450","2",NA,"2017","herg"
"351","364","1",NA,"2017","herg"
"352","432","2",NA,"2017","herg"
"353","389","3",NA,"2017","herg"
"354","460","2",NA,"2017","herg"
"355","311","2",NA,"2017","herg"
"356","385","2",NA,"2017","herg"
"357","327","2",NA,"2017","herg"
"358","384","3",NA,"2017","herg"
"359","258","2",NA,"2017","herg"
"360","365","1",NA,"2017","herg"
"361","383","3","east berm","2017","herg"
"362","462","3",NA,"2017","herg"
"363","487","3",NA,"2017","herg"
"364","382","2",NA,"2017","herg"
"365","209","3",NA,"2017","herg"
"366","468","1",NA,"2017","herg"
"367","822","empty",NA,"2017","gbbg"
"368","380","3",NA,"2017","herg"
"369","305","3",NA,"2017","herg"
"370","433","3",NA,"2017","herg"
"371","464","3",NA,"2017","herg"
"372","445","1",NA,"2017","herg"
"373","424","3",NA,"2017","herg"
"374","341","3",NA,"2017","herg"
"375","230","2",NA,"2017","herg"
"376","369","3",NA,"2017","herg"
"377","435","3",NA,"2017","herg"
"378","455","3",NA,"2017","herg"
"379","416","3",NA,"2017","coei"
"380","422","3",NA,"2017","herg"
"381","301","4",NA,"2017","herg"
"382","469","3",NA,"2017","herg"
"383","421","3",NA,"2017","herg"
"384","471","3",NA,"2017","herg"
"385","358","3",NA,"2017","herg"
"386","320","3",NA,"2017","herg"
"387","328","3",NA,"2017","herg"
"388","466","3",NA,"2017","herg"
"389","440","3",NA,"2017","herg"
"390","423","3",NA,"2017","herg"
"391","348","3",NA,"2017","herg"
"392","278","1",NA,"2017","herg"
"393","157","3",NA,"2017","herg"
"394","472","1",NA,"2017","herg"
"395","474","2",NA,"2017","herg"
"396","321","2",NA,"2017","herg"
"397","388","3",NA,"2017","herg"
"398","489","3",NA,"2017","herg"
"399","480","3",NA,"2017","herg"
"400","366","3",NA,"2017","herg"
"401","482","2",NA,"2017","herg"
"402","413","3",NA,"2017","herg"
"403","357","3",NA,"2017","herg"
"404","501","3","west fog horn","2017","herg"
"405","527","3",NA,"2017","herg"
"406","596","5",NA,"2017","herg"
"407","521","2",NA,"2017","herg"
"408","508","2",NA,"2017","herg"
"409","507","3",NA,"2017","herg"
"410","593","3",NA,"2017","herg"
"411","826","1",NA,"2017","gbbg"
"412","522","2",NA,"2017","herg"
"413","430","3",NA,"2017","herg"
"414","431","3",NA,"2017","herg"
"415","345","3",NA,"2017","herg"
"416","591","3",NA,"2017","herg"
"417","434","3",NA,"2017","herg"
"418","231","3",NA,"2017","herg"
"419","547","3",NA,"2017","herg"
"420","590","3",NA,"2017","herg"
"421","465","3",NA,"2017","herg"
"422","340","3",NA,"2017","herg"
"423","412","2",NA,"2017","herg"
"424","326","3",NA,"2017","herg"
"425","-","-",NA,"2017","coei"
"426","415","2",NA,"2017","herg"
"427","470","2",NA,"2017","herg"
"428","363","2",NA,"2017","herg"
"429","495","3",NA,"2017","herg"
"430","592","3",NA,"2017","herg"
"431","437","2",NA,"2017","herg"
"432","355","3",NA,"2017","herg"
"433","334","1",NA,"2017","herg"
"434","613","3",NA,"2017","herg"
"435","483","1",NA,"2017","herg"
"436","519","3",NA,"2017","herg"
"437","486","2",NA,"2017","herg"
"438","436","2",NA,"2017","herg"
"439","534","3",NA,"2017","herg"
"440","386","3",NA,"2017","herg"
"441","439","3",NA,"2017","herg"
"442","481","2",NA,"2017","herg"
"443","-","-",NA,"2017","coei"
"444","533","3",NA,"2017","herg"
"445","394","3",NA,"2017","herg"
"446","390","5",NA,"2017","herg"
"447","352","3",NA,"2017","herg"
"448","404","3",NA,"2017","herg"
"449","463","3",NA,"2017","herg"
"450","532","3",NA,"2017","herg"
"451","452","3",NA,"2017","herg"
"452","376","3",NA,"2017","herg"
"453","494","1",NA,"2017","herg"
"454","325","3",NA,"2017","herg"
"455","406","1",NA,"2017","herg"
"456","411","3",NA,"2017","herg"
"457","490","3",NA,"2017","herg"
"458","492","3",NA,"2017","herg"
"459","479","3",NA,"2017","herg"
"460","575","3",NA,"2017","herg"
"461","523","3",NA,"2017","herg"
"462","541","1",NA,"2017","herg"
"463","-","-",NA,"2017","coei"
"464","467","3",NA,"2017","herg"
"465","574","2",NA,"2017","herg"
"466","337","3",NA,"2017","herg"
"467","531","4",NA,"2017","herg"
"468","332","3",NA,"2017","herg"
"469","401","3",NA,"2017","herg"
"470","461","3",NA,"2017","herg"
"471","407","2",NA,"2017","herg"
"472","417","3",NA,"2017","herg"
"473","536","3",NA,"2017","herg"
"474","477","2",NA,"2017","herg"
"475","496","3",NA,"2017","herg"
"476","525","1",NA,"2017","herg"
"477","396","3",NA,"2017","herg"
"478","215","3",NA,"2017","herg"
"479","427","3",NA,"2017","herg"
"480","491","3",NA,"2017","herg"
"481","497","3",NA,"2017","herg"
"482","842","2",NA,"2017","gbbg"
"483","499","3",NA,"2017","herg"
"484","418","3",NA,"2017","herg"
"485","542","3",NA,"2017","herg"
"486","577","3",NA,"2017","herg"
"487","514","2",NA,"2017","herg"
"488","503","3",NA,"2017","herg"
"489","395","3",NA,"2017","herg"
"490","578","3",NA,"2017","herg"
"491","335","2",NA,"2017","herg"
"492","573","1",NA,"2017","herg"
"493","322","1",NA,"2017","herg"
"494","-","-",NA,"2017","coei"
"495","478","3",NA,"2017","herg"
"496","594","3",NA,"2017","herg"
"497","535","3","west pivot back up toward little boathouse field","2017","herg"
"498","414","3",NA,"2017","herg"
"499","449","2",NA,"2017","herg"
"500","410","3",NA,"2017","herg"
"501","429","3",NA,"2017","herg"
"502","509","3",NA,"2017","herg"
"503","488","3",NA,"2017","herg"
"504","520","3",NA,"2017","herg"
"505","595","2",NA,"2017","herg"
"506","504","3",NA,"2017","herg"
"507","527","2",NA,"2017","herg"
"508","454","2",NA,"2017","herg"
"509","502","2","north of little boathouse in berm","2017","herg"
"510","459","3",NA,"2017","herg"
"511","539","3",NA,"2017","herg"
"512","510","3",NA,"2017","herg"
"513","530","3",NA,"2017","herg"
"514","550","3",NA,"2017","herg"
"515","511","3",NA,"2017","herg"
"516","447","3",NA,"2017","herg"
"517","583","3",NA,"2017","herg"
"518","555","3",NA,"2017","herg"
"519","586","3",NA,"2017","herg"
"520","443","3",NA,"2017","herg"
"521","554","3",NA,"2017","herg"
"522","636","3",NA,"2017","herg"
"523","515","3",NA,"2017","herg"
"524","493","3",NA,"2017","herg"
"525","518","3",NA,"2017","herg"
"526","647","3",NA,"2017","herg"
"527","576","2","gbbg?","2017","herg"
"528","581","3",NA,"2017","herg"
"529","506","2",NA,"2017","herg"
"530","548","3",NA,"2017","herg"
"531","651","3",NA,"2017","herg"
"532","429","3",NA,"2017","herg"
"533",NA,NA,NA,"2017","coei"
"534","562","3",NA,"2017","herg"
"535","653","1",NA,"2017","herg"
"536","543","3",NA,"2017","herg"
"537","542","2",NA,"2017","herg"
"538","485","3",NA,"2017","herg"
"539","567","3",NA,"2017","herg"
"540","650","3",NA,"2017","herg"
"541","538","3",NA,"2017","herg"
"542","517","3",NA,"2017","herg"
"543","405","3",NA,"2017","herg"
"544","551","2",NA,"2017","herg"
"545","546","2",NA,"2017","herg"
"546","438","3",NA,"2017","herg"
"547","589","3",NA,"2017","herg"
"548","654","3",NA,"2017","herg"
"549","565","3",NA,"2017","herg"
"550","505","3",NA,"2017","herg"
"551",NA,NA,NA,"2017","coei"
"552","544","3",NA,"2017","herg"
"553","561","3",NA,"2017","herg"
"554","657","3",NA,"2017","herg"
"555","512","3",NA,"2017","herg"
"556","553","3",NA,"2017","herg"
"557",NA,NA,NA,"2017","coei"
"558","572","3",NA,"2017","herg"
"559","458","3",NA,"2017","herg"
"560","498","3",NA,"2017","herg"
"561","556","3",NA,"2017","herg"
"562","516","3",NA,"2017","herg"
"563","569","3",NA,"2017","herg"
"564","428","3",NA,"2017","herg"
"565","584","3",NA,"2017","herg"
"566","642","3",NA,"2017","herg"
"567","559","3",NA,"2017","herg"
"568","448","3",NA,"2017","herg"
"569","579","3",NA,"2017","herg"
"570","540","3",NA,"2017","herg"
"571","588",NA,NA,"2017","coei"
"572","656","2",NA,"2017","herg"
"573","377","3",NA,"2017","herg"
"574","631","3",NA,"2017","herg"
"575","691","3",NA,"2017","herg"
"576","426","3",NA,"2017","herg"
"577","425","3",NA,"2017","herg"
"578","643","3",NA,"2017","herg"
"579","528","3",NA,"2017","herg"
"580","645","3",NA,"2017","herg"
"581","453","3",NA,"2017","herg"
"582","582","3",NA,"2017","herg"
"583","457","3",NA,"2017","herg"
"584","484","3",NA,"2017","herg"
"585","526","2",NA,"2017","herg"
"586","167","2",NA,"2017","herg"
"587","557","3",NA,"2017","herg"
"588","451","3",NA,"2017","herg"
"589","695","2",NA,"2017","herg"
"590","644","3",NA,"2017","herg"
"591","456","3",NA,"2017","herg"
"592","444","3",NA,"2017","herg"
"593","446","3",NA,"2017","herg"
"594","558","3",NA,"2017","herg"
"595","646","2",NA,"2017","herg"
"596","475","3",NA,"2017","herg"
"597","419","2",NA,"2017","herg"
"598","441","3",NA,"2017","herg"
"599","539","3",NA,"2017","herg"
"600","398","3","start sweep up west, back south in field","2017","herg"
"601","678","3",NA,"2017","herg"
"602","632","2",NA,"2017","herg"
"603","409","3",NA,"2017","herg"
"604","624","3",NA,"2017","herg"
"605","610","4",NA,"2017","herg"
"606","402","2",NA,"2017","herg"
"607","669","3",NA,"2017","herg"
"608","698","3",NA,"2017","herg"
"609","570","3",NA,"2017","herg"
"610","420","3",NA,"2017","herg"
"611","700","3",NA,"2017","herg"
"612","666","2",NA,"2017","herg"
"613","626","1",NA,"2017","herg"
"614","609","3",NA,"2017","herg"
"615","560","3",NA,"2017","herg"
"616","663","3",NA,"2017","herg"
"617","664","3",NA,"2017","herg"
"618","585","3",NA,"2017","herg"
"619","571","3",NA,"2017","herg"
"620","688","2",NA,"2017","herg"
"621","611","3",NA,"2017","herg"
"622","568","2",NA,"2017","herg"
"623","680","3",NA,"2017","herg"
"624","693","3",NA,"2017","herg"
"625","631","3",NA,"2017","herg"
"626","513","3",NA,"2017","herg"
"627","564",NA,NA,"2017","coei"
"628","667","3",NA,"2017","herg"
"629","476","2",NA,"2017","herg"
"630","566","3",NA,"2017","herg"
"631","633","3",NA,"2017","herg"
"632","612","3",NA,"2017","herg"
"633","685","3",NA,"2017","herg"
"634","403","3",NA,"2017","herg"
"635","454","3",NA,"2017","herg"
"636","545","3",NA,"2017","herg"
"637","682","3",NA,"2017","herg"
"638","649","3",NA,"2017","herg"
"639","605","3",NA,"2017","herg"
"640","563","3",NA,"2017","herg"
"641","684","3",NA,"2017","herg"
"642","658","3",NA,"2017","herg"
"643","625","2",NA,"2017","herg"
"644","676","3",NA,"2017","herg"
"645","408","2",NA,"2017","herg"
"646","652","3","turn, walk west and walk south through field","2017","herg"
"647","621","2",NA,"2017","herg"
"648","607","3",NA,"2017","herg"
"649","630","1",NA,"2017","herg"
"650","620","3",NA,"2017","herg"
"651","604","2",NA,"2017","herg"
"652","660","3",NA,"2017","herg"
"653","619","2",NA,"2017","herg"
"654","699","3",NA,"2017","herg"
"655","665","3",NA,"2017","herg"
"656","681","2",NA,"2017","herg"
"657","674","3",NA,"2017","herg"
"658","638","3",NA,"2017","herg"
"659","675","3",NA,"2017","herg"
"660","694","3",NA,"2017","herg"
"661","640","1",NA,"2017","herg"
"662","679","3",NA,"2017","herg"
"663","601","3",NA,"2017","herg"
"664","686","3",NA,"2017","herg"
"665","615","3",NA,"2017","herg"
"666","661","3",NA,"2017","herg"
"667","655","2",NA,"2017","herg"
"668","606","2",NA,"2017","herg"
"669","587","3",NA,"2017","herg"
"670","696","3",NA,"2017","herg"
"671","627","3",NA,"2017","herg"
"672","692","3",NA,"2017","herg"
"673","603","3",NA,"2017","herg"
"674","641","3",NA,"2017","herg"
"675","580","2",NA,"2017","herg"
"676","628","3",NA,"2017","herg"
"677","549","3",NA,"2017","herg"
"678","602","3",NA,"2017","herg"
"679","673","3",NA,"2017","herg"
"680","622","3",NA,"2017","herg"
"681","616","3",NA,"2017","herg"
"682","670","2",NA,"2017","herg"
"683","691","1",NA,"2017","herg"
"684","668","2",NA,"2017","herg"
"685","617","2",NA,"2017","herg"
"686","618","5",NA,"2017","herg"
"687","687","3",NA,"2017","herg"
"688","552","2",NA,"2017","herg"
"689","608","3",NA,"2017","herg"
"690",NA,"3","1 dead herg","2017","herg"
"691",NA,"3",NA,"2017","herg"
"692",NA,"2",NA,"2017","herg"
"693",NA,"2",NA,"2017","herg"
"694",NA,"2",NA,"2017","herg"
"695",NA,"3",NA,"2017","herg"
"696",NA,"2",NA,"2017","herg"
"697",NA,"3",NA,"2017","herg"
"698",NA,"3",NA,"2017","herg"
"699",NA,"3",NA,"2017","herg"
"700",NA,"1",NA,"2017","herg"
