"","flag","clutch","year","location","species"
"1",8,3,"2002","southeast","herg"
"2",89,3,"2002","southeast","herg"
"3",10,2,"2002","southeast","herg"
"4",32,3,"2002","southeast","herg"
"5",6,3,"2002","southeast","herg"
"6",24,2,"2002","southeast","gbbg"
"7",98,3,"2002","southeast","herg"
"8",19,2,"2002","southeast","herg"
"9",2,3,"2002","southeast","herg"
"10",87,2,"2002","southeast","gbbg"
"11",20,3,"2002","southeast","herg"
"12",47,3,"2002","southeast","coei"
"13",21,2,"2002","southeast","herg"
"14",56,3,"2002","southeast","herg"
"15",43,2,"2002","southeast","herg"
"16",91,3,"2002","southeast","herg"
"17",49,3,"2002","southeast","herg"
"18",92,3,"2002","southeast","herg"
"19",40,2,"2002","southeast","herg"
"20",22,3,"2002","southeast","herg"
"21",99,3,"2002","southeast","herg"
"22",52,2,"2002","southeast","herg"
"23",96,3,"2002","southeast","herg"
"24",58,3,"2002","southeast","herg"
"25",14,2,"2002","southeast","herg"
"26",77,3,"2002","southeast","herg"
"27",44,3,"2002","southeast","herg"
"28",94,3,"2002","southeast","herg"
"29",15,3,"2002","southeast","herg"
"30",5,3,"2002","southeast","herg"
"31",34,3,"2002","southeast","herg"
"32",62,4,"2002","southeast","herg"
"33",100,3,"2002","southeast","herg"
"34",33,3,"2002","southeast","herg"
"35",84,3,"2002","southeast","herg"
"36",42,3,"2002","southeast","herg"
"37",4,3,"2002","southeast","herg"
"38",30,3,"2002","southeast","herg"
"39",31,3,"2002","southeast","herg"
"40",57,2,"2002","southeast","herg"
"41",85,3,"2002","southeast","herg"
"42",17,3,"2002","southeast","herg"
"43",41,3,"2002","southeast","herg"
"44",61,3,"2002","southeast","herg"
"45",3,3,"2002","southeast","herg"
"46",55,2,"2002","southeast","herg"
"47",66,3,"2002","southeast","herg"
"48",45,1,"2002","southeast","herg"
"49",73,3,"2002","southeast","herg"
"50",78,1,"2002","southeast","herg"
"51",83,3,"2002","southeast","herg"
"52",50,3,"2002","southeast","herg"
"53",46,3,"2002","southeast","herg"
"54",23,3,"2002","southeast","herg"
"55",80,3,"2002","southeast","herg"
"56",48,3,"2002","southeast","herg"
"57",1,2,"2002","southeast","herg"
"58",16,3,"2002","southeast","herg"
"59",36,3,"2002","southeast","herg"
"60",54,1,"2002","southeast","herg"
"61",11,2,"2002","southeast","herg"
"62",70,3,"2002","southeast","herg"
"63",79,3,"2002","southeast","herg"
"64",26,3,"2002","southeast","herg"
"65",69,2,"2002","southeast","herg"
"66",28,3,"2002","southeast","herg"
"67",53,1,"2002","southeast","herg"
"68",25,3,"2002","southeast","herg"
"69",93,3,"2002","southeast","herg"
"70",60,3,"2002","southeast","herg"
"71",9,3,"2002","southeast","herg"
"72",13,3,"2002","southeast","herg"
"73",29,2,"2002","southeast","herg"
"74",27,3,"2002","southeast","herg"
"75",95,3,"2002","southeast","herg"
"76",76,3,"2002","southeast","herg"
"77",65,3,"2002","southeast","herg"
"78",86,2,"2002","southeast","herg"
"79",7,3,"2002","southeast","herg"
"80",35,3,"2002","southeast","herg"
"81",38,3,"2002","southeast","herg"
"82",59,3,"2002","southeast","herg"
"83",12,3,"2002","southeast","herg"
"84",63,3,"2002","southeast","herg"
"85",71,3,"2002","southeast","herg"
"86",81,2,"2002","southeast","herg"
"87",64,3,"2002","southeast","herg"
"88",90,3,"2002","southeast","herg"
"89",37,3,"2002","southeast","herg"
"90",51,3,"2002","southeast","herg"
"91",60,1,"2002","southeast","herg"
"92",72,3,"2002","southeast","herg"
"93",74,3,"2002","southeast","herg"
"94",82,3,"2002","southeast","herg"
"95",39,2,"2002","southeast","gbbg"
"96",1223,3,"2002","point","herg"
"97",255,3,"2002","point","herg"
"98",323,3,"2002","point","herg"
"99",1250,3,"2002","point","herg"
"100",494,3,"2002","point","herg"
"101",1755,3,"2002","point","herg"
"102",996,2,"2002","point","herg"
"103",280,3,"2002","point","herg"
"104",1220,3,"2002","point","herg"
"105",253,3,"2002","point","herg"
"106",1793,2,"2002","point","herg"
"107",1213,3,"2002","point","herg"
"108",262,3,"2002","point","herg"
"109",1770,2,"2002","point","herg"
"110",3010,3,"2002","point","herg"
"111",1759,3,"2002","point","herg"
"112",1221,3,"2002","point","herg"
"113",260,3,"2002","point","herg"
"114",1112,3,"2002","point","herg"
"115",1758,2,"2002","point","herg"
"116",1753,1,"2002","point","herg"
"117",1217,3,"2002","point","herg"
"118",1768,3,"2002","point","herg"
"119",254,1,"2002","point","herg"
"120",1761,2,"2002","point","herg"
"121",971,3,"2002","point","herg"
"122",1249,2,"2002","point","herg"
"123",9771,3,"2002","point","herg"
"124",961,2,"2002","point","herg"
"125",1208,3,"2002","point","herg"
"126",1777,1,"2002","point","herg"
"127",258,2,"2002","point","herg"
"128",1222,2,"2002","point","herg"
"129",1788,3,"2002","point","herg"
"130",1215,2,"2002","point","herg"
"131",1754,2,"2002","point","herg"
"132",1790,3,"2002","point","herg"
"133",474,3,"2002","point","herg"
"134",179,1,"2002","point","herg"
"135",1752,1,"2002","point","herg"
"136",1784,2,"2002","point","herg"
"137",276,3,"2002","point","herg"
"138",1780,3,"2002","point","herg"
"139",1214,3,"2002","point","herg"
"140",785,3,"2002","point","herg"
"141",979,3,"2002","point","herg"
"142",277,3,"2002","point","herg"
"143",1226,1,"2002","point","herg"
"144",1247,3,"2002","point","herg"
"145",279,3,"2002","point","herg"
"146",1216,3,"2002","point","herg"
"147",1218,3,"2002","point","herg"
"148",1764,3,"2002","point","herg"
"149",1210,3,"2002","point","herg"
"150",1782,3,"2002","point","herg"
"151",1765,4,"2002","point","herg"
"152",1206,3,"2002","point","herg"
"153",1766,3,"2002","point","herg"
"154",1248,3,"2002","point","herg"
"155",499,3,"2002","point","herg"
"156",1772,3,"2002","point","herg"
"157",250,3,"2002","point","herg"
"158",1236,2,"2002","point","herg"
"159",1769,2,"2002","point","herg"
"160",257,1,"2002","point","herg"
"161",278,3,"2002","point","herg"
"162",1237,3,"2002","point","herg"
"163",256,1,"2002","point","herg"
"164",116,2,"2002",NA,"herg"
"165",107,1,"2002",NA,"herg"
"166",120,2,"2002",NA,"herg"
"167",127,2,"2002",NA,"herg"
"168",108,3,"2002",NA,"herg"
"169",101,3,"2002",NA,"herg"
"170",128,3,"2002",NA,"herg"
"171",115,3,"2002",NA,"herg"
"172",112,3,"2002",NA,"herg"
"173",111,3,"2002",NA,"herg"
"174",129,3,"2002",NA,"herg"
"175",105,2,"2002",NA,"herg"
"176",113,2,"2002",NA,"herg"
"177",121,3,"2002",NA,"herg"
"178",102,1,"2002",NA,"herg"
"179",114,1,"2002",NA,"herg"
"180",118,3,"2002",NA,"herg"
"181",119,1,"2002",NA,"herg"
"182",136,2,"2002",NA,"herg"
"183",131,3,"2002",NA,"herg"
"184",109,2,"2002",NA,"coei"
"185",130,3,"2002",NA,"herg"
"186",110,3,"2002",NA,"herg"
"187",122,1,"2002",NA,"herg"
"188",133,3,"2002",NA,"herg"
"189",106,2,"2002",NA,"herg"
"190",97,2,"2002",NA,"herg"
"191",134,3,"2002",NA,"herg"
"192",123,3,"2002",NA,"herg"
"193",104,2,"2002",NA,"herg"
"194",103,2,"2002",NA,"herg"
"195",117,1,"2002",NA,"herg"
"196",240,2,"2002",NA,"herg"
"197",1145,2,"2002",NA,"herg"
"198",1165,3,"2002",NA,"herg"
"199",294,2,"2002",NA,"herg"
"200",963,3,"2002",NA,"herg"
"201",306,3,"2002",NA,"herg"
"202",1211,2,"2002",NA,"herg"
"203",341,3,"2002",NA,"herg"
"204",1147,3,"2002",NA,"herg"
