"","flag","clutch","year","species"
"1","830","2","2015","herg"
"2","834","3","2015","herg"
"3","821","2","2015","herg"
"4","452","2","2015","herg"
"5","27X","3","2015","herg"
"6","587","2","2015","herg"
"7","293","2","2015","herg"
"8","398","2","2015","herg"
"9","268","3","2015","herg"
"10","590","3","2015","herg"
"11","244","3","2015","herg"
"12","171","2","2015","herg"
"13","153","2","2015","herg"
"14","845","3","2015","herg"
"15","357","3","2015","herg"
"16","322","3","2015","herg"
"17","166","3","2015","herg"
"18","184","3","2015","herg"
"19","812","3","2015","herg"
"20","394","3","2015","herg"
"21","43","3","2015","herg"
"22","113","3","2015","herg"
"23","838","3","2015","herg"
"24","3XX","3","2015","herg"
"25","197","3","2015","herg"
"26","715","2","2015","gbbg"
"27","900","3","2015","herg"
"28","100","3","2015","herg"
"29","143","2","2015","herg"
"30","65","3","2015","herg"
"31","419","2","2015","herg"
"32","116","3","2015","herg"
"33","423","3","2015","herg"
"34","421","3","2015","herg"
"35","439","3","2015","herg"
"36","427","3","2015","herg"
"37","523","3","2015","herg"
"38","195","3","2015","herg"
"39","118","3","2015","herg"
"40","426","3","2015","herg"
"41","521","2","2015","herg"
"42","588","3","2015","herg"
"43","424","3","2015","herg"
"44","173","3","2015","herg"
"45","425","3","2015","herg"
"46","515","3","2015","herg"
"47","57X","3","2015","herg"
"48","74","3","2015","herg"
"49","117","3","2015","herg"
"50","45","3","2015","herg"
"51","528","5","2015","herg"
"52","125","2","2015","herg"
"53","847","3","2015","herg"
"54","243","2","2015","herg"
"55","173","x","2015","herg"
"56","287","3","2015","herg"
"57","153","2","2015","herg"
"58","272","3","2015","herg"
"59","182","3","2015","herg"
"60","261","3","2015","herg"
"61","244","3","2015","herg"
"62","298","3","2015","herg"
"63","295","2","2015","herg"
"64","262","3","2015","herg"
"65","856","3","2015","herg"
"66","212","3","2015","herg"
"67","254","2","2015","herg"
"68","844","3","2015","herg"
"69","554","3","2015","herg"
"70","224","3","2015","herg"
"71","246","1","2015","herg"
"72","160","3","2015","herg"
"73","245","2","2015","herg"
"74","251","2","2015","herg"
"75","247","3","2015","herg"
"76","820","3","2015","herg"
"77","527","3","2015","herg"
"78","129","3","2015","herg"
"79","214","3","2015","herg"
"80","160","3","2015","herg"
"81","178","3","2015","herg"
"82","501","3","2015","herg"
"83","108","3","2015","herg"
"84","172","3","2015","herg"
"85","259","3","2015","herg"
"86","102","3","2015","herg"
"87","591","3","2015","herg"
"88","532","0","2015","herg"
"89","220","3","2015","herg"
"90","148","2","2015","herg"
"91","111","0","2015","herg"
"92","861","3","2015","herg"
"93","491","3","2015","herg"
"94","897","2","2015","herg"
"95","810","2","2015","herg"
"96","116","3","2015","herg"
"97","859","3","2015","herg"
"98","187","0","2015","herg"
"99","570","3","2015","herg"
"100","852","3","2015","herg"
"101","441","2","2015","herg"
"102","332","3","2015","herg"
"103","79","3","2015","herg"
"104","557","3","2015","herg"
"105","484","2","2015","herg"
"106","889","3","2015","herg"
"107","53X","0","2015","herg"
"108","417","2","2015","herg"
"109","432","2","2015","herg"
"110","400","3","2015","herg"
"111","471","1","2015","herg"
"112","846","3","2015","herg"
"113","54","3","2015","herg"
"114","473","3","2015","herg"
"115","9","3","2015","herg"
"116","345","3","2015","herg"
"117","456","3","2015","herg"
"118","461","3","2015","herg"
"119","896","2","2015","herg"
"120","327","3","2015","herg"
"121","137","3","2015","herg"
"122","78","3","2015","herg"
"123","97","3","2015","herg"
"124","47","3","2015","herg"
"125","114","3","2015","herg"
"126","883","3","2015","herg"
"127","249","3","2015","herg"
"128","413","3","2015","herg"
"129","801","3","2015","herg"
"130","82","3","2015","herg"
"131","87","3","2015","herg"
"132","428","3","2015","herg"
"133","431","3","2015","herg"
"134","898","2","2015","herg"
"135","84","3","2015","herg"
"136","469","3","2015","herg"
"137","4XX","3","2015","herg"
"138","463","2","2015","herg"
"139","869","2","2015","herg"
"140","803","2","2015","herg"
"141","813","2","2015","herg"
"142","562","2","2015","herg"
"143","159","3","2015","herg"
"144","538","2","2015","herg"
"145","522","3","2015","herg"
"146","109","3","2015","herg"
"147","749","3","2015","gbbg"
"148","135","2","2015","herg"
"149","27","3","2015","herg"
"150","149","3","2015","herg"
"151","890","2","2015","herg"
"152","455","3","2015","herg"
"153","542","3","2015","herg"
"154","498","3","2015","herg"
"155","327","3","2015","herg"
"156","279","0","2015","herg"
"157","354","1","2015","herg"
"158","353","0","2015","herg"
"159","456","3","2015","herg"
"160","9","3","2015","herg"
"161","843","3","2015","herg"
"162","208","3","2015","herg"
"163","548","3","2015","herg"
"164","471","1","2015","herg"
"165","537","0","2015","herg"
"166","538","0","2015","herg"
"167","249","3","2015","herg"
"168","136","3","2015","herg"
"169","520","3","2015","herg"
"170","489","3","2015","herg"
"171","295","3","2015","herg"
"172","441","2","2015","herg"
"173","124","3","2015","herg"
"174","454","0","2015","herg"
"175","577","3","2015","herg"
"176","139","0","2015","herg"
"177","560","3","2015","herg"
"178","146","3","2015","herg"
"179","572","3","2015","herg"
"180","167","3","2015","herg"
"181","353","1","2015","herg"
"182","545","3","2015","herg"
"183","462","3","2015","herg"
"184","476","3","2015","herg"
"185","76","0","2015","herg"
"186","808","3","2015","herg"
"187","66","3","2015","herg"
"188","101","3","2015","herg"
"189","516","2","2015","herg"
"190","467","1","2015","herg"
"191","468","3","2015","herg"
"192","561","3","2015","herg"
"193","144","3","2015","herg"
"194","217","1","2015","herg"
"195","300","3","2015","herg"
"196","289","3","2015","herg"
"197","123","3","2015","herg"
"198","881","3","2015","herg"
"199","190","3","2015","herg"
"200","199","2","2015","herg"
"201","361","3","2015","herg"
"202","893","2","2015","herg"
"203","809","3","2015","herg"
"204","206","3","2015","herg"
"205","255","3","2015","herg"
"206","250","3","2015","herg"
"207","56X","3","2015","herg"
"208","230","2","2015","herg"
"209","2","3","2015","herg"
"210","818","3","2015","gbbg"
"211","288","3","2015","gbbg"
"212","296","0","2015","herg"
"213","833","0","2015","herg"
"214","273","3","2015","herg"
"215","511","3","2015","herg"
"216","108","3","2015","herg"
"217","822","2","2015","herg"
"218","274","3","2015","herg"
"219","273","3","2015","herg"
"220","835","5","2015","herg"
"221","258","3","2015","herg"
"222","216","3","2015","herg"
"223","853","3","2015","herg"
"224","207","2","2015","herg"
"225","868","2","2015","herg"
"226","204","5","2015","herg"
"227","203","2","2015","herg"
"228","209","1","2015","herg"
"229","806","3","2015","herg"
"230","841","3","2015","herg"
"231","871","3","2015","herg"
"232","224","3","2015","herg"
"233","858","0","2015","herg"
"234","807","3","2015","herg"
"235","494","3","2015","herg"
"236","202","0","2015","herg"
"237","894","2","2015","herg"
"238","124","0","2015","herg"
"239","219","2","2015","herg"
"240","505","3","2015","herg"
"241","480","2","2015","herg"
"242","285","3","2015","herg"
"243","237","3","2015","herg"
"244","282","3","2015","herg"
"245","249","3","2015","herg"
"246","533","3","2015","herg"
"247","291","3","2015","herg"
"248","284","3","2015","herg"
"249","491","3","2015","herg"
"250","485","3","2015","herg"
"251","500","3","2015","herg"
"252","872","3","2015","herg"
"253","294","3","2015","herg"
"254","147","3","2015","herg"
"255","205","3","2015","herg"
"256","285","3","2015","herg"
"257","488","3","2015","herg"
"258","805","3","2015","herg"
"259","465","3","2015","herg"
"260","231","3","2015","herg"
"261","292","3","2015","herg"
"262","177","3","2015","herg"
"263","483","2","2015","herg"
"264","208","3","2015","herg"
"265","498","3","2015","herg"
"266","575","3","2015","herg"
"267","505","2","2015","herg"
"268","891","3","2015","herg"
"269","486","3","2015","herg"
"270","122","3","2015","herg"
"271","418","3","2015","herg"
"272","228","5","2015","herg"
"273","146","3","2015","herg"
"274","804","3","2015","herg"
"275","843","3","2015","herg"
"276","112","3","2015","herg"
"277","143","3","2015","herg"
"278","174","2","2015","herg"
"279","854","1","2015","herg"
"280","115","3","2015","herg"
"281","509","3","2015","herg"
"282","233","3","2015","herg"
"283","816","2","2015","herg"
"284","534","3","2015","herg"
"285","814","1","2015","herg"
"286","329","3","2015","herg"
"287","368","3","2015","herg"
"288","855","1","2015","gbbg"
"289","496","3","2015","herg"
"290","286","2","2015","gbbg"
"291","340","3","2015","herg"
"292","542","3","2015","herg"
"293","440","3","2015","herg"
"294","131","3","2015","herg"
"295","27","3","2015","herg"
"296","850","3","2015","herg"
"297","453","3","2015","herg"
"298","890","2","2015","herg"
"299","581","2","2015","herg"
"300","129","3","2015","herg"
"301","31","3","2015","herg"
"302","549","3","2015","herg"
"303","135","3","2015","herg"
"304","555","3","2015","herg"
"305","159","3","2015","herg"
"306","142","2","2015","herg"
"307","887","3","2015","herg"
"308","543","3","2015","herg"
"309","151","3","2015","herg"
"310","132","3","2015","herg"
"311","538","2","2015","herg"
"312","149","3","2015","herg"
"313","541","3","2015","herg"
"314","522","3","2015","herg"
"315","514","3","2015","herg"
"316","562","3","2015","herg"
"317","159","3","2015","herg"
"318","109","3","2015","herg"
"319","819","3","2015","herg"
"320","56","3","2015","herg"
"321","1","3","2015","herg"
"322","377","3","2015","herg"
"323","21","3","2015","herg"
"324","114","3","2015","herg"
"325","443","2","2015","herg"
"326","145","2","2015","herg"
"327","526","2","2015","herg"
"328","104","2","2015","herg"
"329","110","3","2015","herg"
"330","278","0","2015","herg"
"331","141","3","2015","herg"
"332","133","3","2015","herg"
"333","161","3","2015","herg"
"334","464","1","2015","herg"
"335","XX9","3","2015","herg"
"336","313","2","2015","herg"
"337","446","1","2015","herg"
"338","524","3","2015","herg"
"339","525","2","2015","herg"
"340","839","2","2015","herg"
"341","547","3","2015","herg"
"342","495","3","2015","herg"
"343","535","3","2015","herg"
"344","497","0","2015","herg"
"345","570","3","2015","herg"
"346","502","2","2015","herg"
"347","481","3","2015","herg"
"348","500","5","2015","herg"
"349","193","2","2015","herg"
"350","477","3","2015","herg"
"351","183","2","2015","herg"
"352","559","2","2015","herg"
"353","378","3","2015","herg"
"354","558","3","2015","herg"
"355","482","3","2015","herg"
