date,herg,gbbg,blgu,coei_ad,coei_ju,atpu,notes
4/28/2023,356,12,541,27,,5,"40 SUSC, 1 GOEY, 3 CAGE"
4/29/2023,727,32,505,53,,4,"1 COLO, 4 CAGE, 20 HARL, 3 RAZO, 1 DCCO, 1 PERG"
4/30/2023,557,34,314,19,,5,"1 HAGL, 2 RAZO, 1 BAEG"
5/1/2023,116,28,na,na,,na,2 CAGE
5/2/2023,820,23,304,27,,7,"1 COLO, 2 CAGE"
5/3/2023,792,25,329,12,,2,"4 HARL, 7 RAZO, 3 COLO, 3 NOGA, 2 CAGO"
5/4/2023,787,23,486,44,,5,"1 COLO, 1 CAGO, 33 DCCO"
5/5/2023,672,23,567,52,,5,"3 LBBG, 3 BRANT, 6 HARL, 1 PERG, 2 CAGO"
5/6/2023,698,31,540,50,,44,"20 HARL, 2 CAOG, 44 SUSC, 4 RAZO, 34 DCCO"
5/7/2023,749,26,515,71,,3,"2 CAAGO, 11 HARL, 18 SUSC, 1 COLO, 1 MERL"
5/8/2023,740,27,438,48,,7,"5 HARL, 2 CAGO, 1 RAZO, 1 NOGA, 1 COLO, 71 BLSC"
5/9/2023,834,30,520,76,,4,"1 RAZO, 5 HARL, 2 COLO, 1 BAEL"
5/10/2023,963,37,521,37,,6,"13 HARL, 3 COLO, 48 BLSC, 1 SEAL"
5/11/2023,968,41,414,61,,5,"2 RAZO, 1 NOGA, 3 COLO, 1 CAGO, 2 WILLETS"
5/12/2023,972,26,410,55,,3,"6 HARL, 3 RAZO, 4 DCCO, 5 SUSC "
5/13/2023,948,25,396,51,,4,"1 BAEL, 1 COLO, 2 RAZO"
5/14/2023,861,33,225,71,,3,"21 BLSC, 2 RAZO, 4 DCCO, 2 COLO, 2 MERL"
5/15/2023,813,27,261,32,,3,"2 DCCO, 1 RAZO, 1 COLO"
5/16/2023,917,41,414,46,,12,"15 DCCO, 9 NOGA, 5 HARL, 1 RAZO, 2 MERL, 1 SEAL"
5/17/2023,719,36,323,49,,2,"1 COLO, 4 DCCO, 4 HARL"
5/18/2023,650,25,291,74,,0,"4 HARL, 2 DCCO, 1 COLO"
5/19/2023,519,36,324,51,,6,"1 CROW, 1 BAEL, 1 NOGA, 1 RAZO"
5/20/2023,494,25,347,40,,3,"270 BLSC, 17 NOGA, 2 CAGO, 4 CAGO GOSLINGS, 3 CROW"
5/21/2023,na,na,na,na,,na,na
5/22/2023,347,19,279,35,,na,"310 BLSC, 1 LBBG, 4 CAGO, 3 NOGA"
5/23/2023,414,21,335,42,,3,"15 DCCO, 4 CAGO, 400 BLSC, 3 COLO"
5/24/2023,381,23,216,41,,3,"4 CAGO, 400 BLSC"
5/25/2023,499,28,182,51,,6,"2 DCCO, 2 CAGO, 1 MERL"
5/26/2023,523,28,315,62,,0,"4 DCCO, 5 COLO, 1 RAZO, 1 HARBOR SEAL, 12 BLSC, 22 WWSC, 1 LAGU, 4 NOGA"
5/27/2023,655,30,227,41,,0,"5 DCCO, 1 AMCR, 1 TERN, 34 BLSC"
5/28/2023,713,31,252,32,,0,"4 DCCO, 1 CAGO"
5/29/2023,705,24,255,63,,3,"5 DCCO, 200 BLSC"
6/15/2023,292,29,64,18,17,2,"1 COLO, 9 DCCO"
6/18/2023,237,27,17,28,40,2,6 DCCO
6/19/2023,238,18,223,18,33,2,"1 HERON, 8 DCCO, 2 COLO"
6/20/2023,279,19,200,42,32,6,"4 BILLS, 8 DCCO, 2 COLO"
6/21/2023,313,28,220,16,33,10,"8 DCCO, 1 RAZO"
6/22/2023,330,24,128,15,25,10,"6 DCCO, 4 SCOTER"
9/1/2023,438,103,111,50,12,2,8 DCCO
