"","habitat","clutch","hatch_seq","chick","nest...4","nest...5","date","weight","chickage"
"1","berm",3,1,1,"284",NA,"44733",65,1
"2","berm",3,1,1,"284",NA,"44734",75,2
"3","berm",3,1,1,"284",NA,"44735",82,3
"4","berm",3,1,1,"284",NA,"44736",100,4
"5","berm",3,1,1,"284",NA,"44737",132,5
"6","berm",3,1,1,"284",NA,"44739",185,7
"7","berm",3,1,1,"284",NA,"44741",218,9
"8","berm",3,1,1,"284",NA,"44743",300,11
"9","berm",3,1,1,"284",NA,"44715",395,13
"10","berm",3,1,1,"284",NA,"44747",485,15
"11","berm",3,1,1,"284",NA,"44749",586,17
"12","berm",3,1,1,"284",NA,"44751",605,19
"13","berm",3,1,1,"284",NA,"44753",760,21
"14","berm",3,1,1,"284",NA,"44765",810,33
"15","berm",3,2,2,"284",NA,"44734",67,2
"16","berm",3,2,2,"284",NA,"44735",75,3
"17","berm",3,2,2,"284",NA,"44736",89,4
"18","berm",3,2,2,"284",NA,"44737",128,5
"19","berm",3,2,2,"284",NA,"44741",198,9
"20","berm",3,2,2,"284",NA,"44743",270,11
"21","berm",3,2,2,"284",NA,"44715",360,13
"22","berm",3,2,2,"284",NA,"44747",445,15
"23","berm",3,2,2,"284",NA,"44749",511,17
"24","berm",3,2,2,"284",NA,"44751",540,19
"25","berm",3,2,2,"284",NA,"44759",820,27
"26","berm",3,2,2,"284",NA,"44765",700,33
"27","berm",3,3,3,"284",NA,"44735",64,4
"28","berm",3,3,3,"284",NA,"44736",69,5
"29","berm",3,3,3,"284",NA,"44737",92,6
"30","berm",3,3,3,"284",NA,"44739",128,8
"31","berm",3,3,3,"284",NA,"44741",146,10
"32","berm",3,3,3,"284",NA,"44715",325,14
"33","berm",3,3,3,"284",NA,"44747",430,16
"34","berm",3,3,3,"284",NA,"44749",501,18
"35","berm",3,3,3,"284",NA,"44751",570,20
"36","berm",3,3,3,"284",NA,"44753",649,22
"37","berm",3,3,3,"284",NA,"44759",865,28
"38","berm",3,3,3,"284",NA,"44765",790,34
"39","berm",3,3,4,"702",73,"44726",87,0
"40","berm",3,3,4,"702",73,"44733",77,1
"41","berm",3,3,4,"702",73,"44734",75,2
"42","berm",3,3,4,"702",73,"44737",145,5
"43","berm",3,3,4,"702",73,"44743",299,11
"44","berm",3,3,4,"702",73,"44747",450,15
"45","berm",3,3,4,"702",73,"44749",535,17
"46","berm",3,2,5,"702",73,"44726",92,0
"47","berm",3,2,5,"702",73,"44732",89,1
"48","berm",3,2,5,"702",73,"44733",113,2
"49","berm",3,2,5,"702",73,"44734",125,3
"50","berm",3,2,5,"702",73,"44743",425,12
"51","berm",3,2,5,"702",73,"44749",636,18
"52","berm",3,2,5,"702",73,"44751",620,20
"53","berm",3,2,5,"702",73,"44753",700,22
"54","berm",3,1,6,"702",73,"44726",93,0
"55","berm",3,1,6,"702",73,"44732",83,3
"56","berm",3,1,6,"702",73,"44733",101,4
"57","berm",3,1,6,"702",73,"44734",119,5
"58","berm",3,1,6,"702",73,"44735",133,6
"59","berm",3,1,6,"702",73,"44737",200,8
"60","berm",3,1,6,"702",73,"44739",240,10
"61","berm",3,2,7,"202",50,"44726",85,0
"62","berm",3,2,7,"202",50,"44732",68,1
"63","berm",3,2,7,"202",50,"44733",76,2
"64","berm",3,2,7,"202",50,"44734",82,3
"65","berm",3,2,7,"202",50,"44736",88,5
"66","berm",3,2,7,"202",50,"44737",136,7
"67","berm",3,2,7,"202",50,"44739",160,8
"68","berm",3,2,7,"202",50,"44741",190,10
"69","berm",3,2,7,"202",50,"44743",282,12
"70","berm",3,2,7,"202",50,"44715",378,14
"71","berm",3,2,7,"202",50,"44749",550,18
"72","berm",3,2,7,"202",50,"44751",560,20
"73","berm",3,2,7,"202",50,"44753",620,22
"74","berm",3,2,7,"202",50,"44759",880,28
"75","berm",3,2,7,"202",50,"44765",980,35
"76","berm",3,3,8,"202",50,"44726",89,0
"77","berm",3,3,8,"202",50,"44730",80,1
"78","berm",3,3,8,"202",50,"44732",94,3
"79","berm",3,3,8,"202",50,"44733",101,4
"80","berm",3,3,8,"202",50,"44734",119,5
"81","berm",3,3,8,"202",50,"44735",141,6
"82","berm",3,3,8,"202",50,"44736",142,7
"83","berm",3,3,8,"202",50,"44737",193,9
"84","berm",3,3,8,"202",50,"44739",215,11
"85","berm",3,3,8,"202",50,"44741",310,13
"86","berm",3,3,8,"202",50,"44743",370,15
"87","berm",3,1,9,"202",50,"44726",83,0
"88","berm",3,1,9,"202",50,"44732",71,1
"89","berm",3,1,9,"202",50,"44733",117,2
"90","berm",3,1,9,"202",50,"44734",135,3
"91","berm",3,1,9,"202",50,"44736",181,5
"92","berm",3,1,9,"202",50,"44737",215,6
"93","berm",3,1,9,"202",50,"44739",250,8
