"","flag","clutch","year","location","species"
"1",73,"3","2009","Begin East Side","herg"
"2",63,"3","2009",NA,"herg"
"3",70,"1","2009",NA,"herg"
"4",58,"3","2009",NA,"herg"
"5",96,"2","2009",NA,"herg"
"6",99,"3","2009",NA,"herg"
"7",1,"3","2009",NA,"herg"
"8",67,"3","2009",NA,"herg"
"9",27,"3","2009",NA,"herg"
"10",55,"3","2009",NA,"herg"
"11",6,"3","2009",NA,"herg"
"12",10,"3","2009",NA,"herg"
"13",60,"3","2009",NA,"herg"
"14",52,"2","2009",NA,"herg"
"15",95,"2","2009",NA,"herg"
"16",16,"2","2009",NA,"herg"
"17",97,"3","2009",NA,"herg"
"18",15,"3","2009",NA,"herg"
"19",28,"2","2009",NA,"herg"
"20",3,"3","2009",NA,"herg"
"21",65,"3","2009",NA,"herg"
"22",18,"3","2009",NA,"herg"
"23",8,"2","2009",NA,"herg"
"24",11,"3","2009",NA,"herg"
"25",29,"2","2009",NA,"herg"
"26",54,"3","2009",NA,"herg"
"27",2,"3","2009",NA,"herg"
"28",30,"3","2009",NA,"herg"
"29",59,"3","2009",NA,"herg"
"30",100,"3","2009",NA,"herg"
"31",98,"3","2009",NA,"herg"
"32",12,"2","2009",NA,"herg"
"33",51,"3","2009",NA,"herg"
"34",5,"3","2009",NA,"herg"
"35",13,"N/A","2009",NA,"coei"
"36",9,"3","2009",NA,"herg"
"37",7,"3","2009",NA,"herg"
"38",25,"3","2009",NA,"herg"
"39",74,"1","2009",NA,"herg"
"40",57,"3","2009",NA,"herg"
"41",31,"1","2009","black","gbbg"
"42",24,"3","2009",NA,"herg"
"43",87,"1","2009",NA,"herg"
"44",86,"3","2009",NA,"herg"
"45",22,"3","2009",NA,"herg"
"46",26,"1","2009",NA,"herg"
"47",84,"3","2009",NA,"herg"
"48",41,"3","2009",NA,"herg"
"49",4,"2","2009",NA,"herg"
"50",40,"3","2009",NA,"herg"
"51",14,"3","2009",NA,"herg"
"52",56,"3","2009",NA,"herg"
"53",17,"2","2009",NA,"herg"
"54",23,"3","2009",NA,"herg"
"55",39,"1","2009",NA,"herg"
"56",20,"3","2009",NA,"herg"
"57",19,"3","2009",NA,"herg"
"58",49,"3","2009",NA,"herg"
"59",21,"3","2009",NA,"herg"
"60",42,"2","2009",NA,"herg"
"61",78,"3","2009",NA,"herg"
"62",69,"2","2009",NA,"herg"
"63",36,"2","2009",NA,"herg"
"64",26,"5","2009",NA,"herg"
"65",22,"3","2009",NA,"herg"
"66",85,"3","2009",NA,"herg"
"67",82,"3","2009",NA,"herg"
"68",75,"3","2009",NA,"herg"
"69",91,"3","2009",NA,"herg"
"70",53,"2","2009",NA,"herg"
"71",68,"1","2009",NA,"herg"
"72",77,"2","2009",NA,"herg"
"73",79,"3","2009",NA,"herg"
"74",71,"3","2009",NA,"herg"
"75",66,"3","2009",NA,"herg"
"76",93,"3","2009",NA,"herg"
"77",81,"2","2009",NA,"herg"
"78",32,"3","2009","black","gbbg"
"79",62,"3","2009",NA,"herg"
"80",80,"2","2009",NA,"herg"
"81",89,"2","2009",NA,"herg"
"82",47,"2","2009","black","gbbg"
"83",83,"3","2009",NA,"herg"
"84",48,"2","2009",NA,"herg"
"85",45,"3","2009","black","gbbg"
"86",92,"3","2009",NA,"herg"
"87",35,"3","2009",NA,"herg"
"88",45,"2","2009",NA,"herg"
"89",90,"3","2009",NA,"herg"
"90",44,"3","2009","black","gbbg"
"91",64,"3","2009",NA,"herg"
"92",61,"3","2009",NA,"herg"
"93",33,"3","2009",NA,"herg"
"94",94,"3","2009",NA,"herg"
