"","flag","clutch","year","species"
"1",NA,NA,"2014","herg"
"2",386,"1","2014","herg"
"3",704,"2","2014","herg"
"4",705,"3","2014","herg"
"5",706,"2","2014","herg"
"6",707,"3","2014","herg"
"7",708,"3","2014","herg"
"8",707,"3","2014","herg"
"9",709,"3","2014","herg"
"10",710,"3","2014","herg"
"11",711,"3","2014","herg"
"12",706,"2","2014","herg"
"13",351,"3","2014","herg"
"14",58,"2","2014","herg"
"15",307,"3","2014","herg"
"16",387,"3","2014","herg"
"17",91,"3","2014","herg"
"18",107,"1","2014","herg"
"19",54,"3","2014","herg"
"20",246,"3","2014","herg"
"21",194,"3","2014","herg"
"22",95,"3","2014","herg"
"23",298,"3","2014","herg"
"24",309,"2","2014","herg"
"25",903,"2","2014","herg"
"26",46,"3","2014","herg"
"27",15,"2","2014","herg"
"28",485,"3","2014","gbbg"
"29",326,"3","2014","herg"
"30",902,"3","2014","herg"
"31",121,"2","2014","herg"
"32",252,"3","2014","herg"
"33",71,"2","2014","herg"
"34",24,"3","2014","herg"
"35",319,"3","2014","herg"
"36",261,"2","2014","herg"
"37",55,"3","2014","herg"
"38",232,"3","2014","herg"
"39",259,"3","2014","herg"
"40",199,"3","2014","herg"
"41",306,"3","2014","herg"
"42",125,"3","2014","herg"
"43",370,"1","2014","herg"
"44",191,"3","2014","herg"
"45",255,"3","2014","herg"
"46",276,"3","2014","herg"
"47",25,"3","2014","herg"
"48",63,"2","2014","herg"
"49",358,"2","2014","herg"
"50",415,"3","2014","herg"
"51",229,"2","2014","herg"
"52",109,"3","2014","herg"
"53",190,"2","2014","herg"
"54",94,"2","2014","herg"
"55",181,"2","2014","herg"
"56",499,"3","2014","herg"
"57",904,"3","2014","herg"
"58",241,"3","2014","herg"
"59",173,"3","2014","herg"
"60",492,"3","2014","herg"
"61",363,"3","2014","herg"
"62",496,"2","2014","herg"
"63",198,"3","2014","herg"
"64",85,"3","2014","herg"
"65",416,"1","2014","herg"
"66",105,"3","2014","herg"
"67",175,"3","2014","herg"
"68",395,"3","2014","herg"
"69",263,"3","2014","herg"
"70",67,"2","2014","herg"
"71",365,"3","2014","herg"
"72",304,"3","2014","herg"
"73",458,"2","2014","herg"
"74",137,"3","2014","herg"
"75",248,"3","2014","herg"
"76",359,"3","2014","herg"
"77",193,"2","2014","herg"
"78",221,"2","2014","herg"
"79",281,"3","2014","herg"
"80",236,"3","2014","herg"
"81",472,"3","2014","herg"
"82",89,"3","2014","herg"
"83",270,"3","2014","herg"
"84",290,"3","2014","herg"
"85",42,"3","2014","herg"
"86",425,"3","2014","herg"
"87",177,"2","2014","gbbg"
"88",257,"3","2014","herg"
"89",235,"3","2014","herg"
"90",602,"3","2014","herg"
"91",601,"3","2014","herg"
"92",66,"3","2014","herg"
"93",466,"3","2014","herg"
"94",611,"3","2014","herg"
"95",703,"2","2014","herg"
"96",600,"2","2014","herg"
"97",702,"1","2014","herg"
"98",700,"3","2014","herg"
"99",701,"3","2014","herg"
"100",603,"2","2014","herg"
"101",604,"3","2014","herg"
"102",43,"3","2014","herg"
"103",228,"3","2014","herg"
"104",495,"3","2014","herg"
"105",432,"3","2014","herg"
"106",36,"3","2014","herg"
"107",417,"3","2014","herg"
"108",424,"3","2014","herg"
"109",308,"3","2014","herg"
"110",280,"3","2014","herg"
"111",473,"3","2014","herg"
"112",438,"3","2014","herg"
"113",251,"3","2014","herg"
"114",434,"2","2014","herg"
"115",145,"3","2014","gbbg"
"116",118,"3","2014","herg"
"117",80,"3","2014","herg"
"118",467,"3","2014","gbbg"
"119",59,"3","2014","herg"
"120",904,"1","2014","herg"
"121",451,"2","2014","herg"
"122",350,"2","2014","herg"
"123",170,"2","2014","herg"
"124",39,"3","2014","gbbg"
"125",268,"3","2014","gbbg"
"126",250,"3","2014","herg"
"127",61,"2","2014","herg"
"128",37,"3","2014","herg"
"129",200,"3","2014","herg"
"130",196,"3","2014","herg"
"131",470,"3","2014","herg"
"132",41,"3","2014","gbbg"
"133",117,"3","2014","herg"
"134",401,"3","2014","herg"
"135",322,"3","2014","herg"
"136",167,"3","2014","herg"
"137",152,"3","2014","herg"
"138",146,"3","2014","herg"
"139",434,"3","2014","herg"
"140",456,"3","2014","herg"
"141",267,"3","2014","gbbg"
"142",70,"3","2014","herg"
"143",40,"3","2014","gbbg"
"144",38,"3","2014","herg"
"145",364,"3","2014","herg"
"146",57,"3","2014","herg"
"147",457,"3","2014","herg"
"148",16,"3","2014","herg"
"149",103,"3","2014","herg"
"150",19,"2","2014","herg"
"151",474,"3","2014","gbbg"
"152",284,"3","2014","gbbg"
"153",357,"2","2014","herg"
"154",48,"2","2014","herg"
"155",419,"3","2014","herg"
"156",132,"3","2014","herg"
"157",72,"3","2014","herg"
"158",407,"3","2014","herg"
"159",185,"3","2014","herg"
"160",144,"2","2014","herg"
"161",217,"3","2014","gbbg"
"162",220,"3","2014","gbbg"
"163",147,"3","2014","herg"
"164",491,"3","2014","herg"
"165",605,"3","2014","herg"
"166",607,"3","2014","herg"
"167",606,"3","2014","herg"
"168",35,"3","2014","herg"
"169",299,"3","2014","herg"
"170",31,"3","2014","herg"
"171",219,"1","2014","gbbg"
"172",373,"3","2014","herg"
"173",418,"2","2014","herg"
"174",128,"3","2014","herg"
"175",254,"3","2014","herg"
"176",127,"3","2014","herg"
"177",275,"3","2014","herg"
"178",160,"3","2014","gbbg"
"179",420,"2","2014","herg"
"180",388,"3","2014","herg"
"181",426,"3","2014","herg"
"182",168,"3","2014","gbbg"
"183",114,"3","2014","herg"
"184",908,"3","2014","herg"
"185",218,"3","2014","herg"
"186",273,"3","2014","herg"
"187",163,"3","2014","herg"
"188",156,"3","2014","herg"
"189",180,"3","2014","herg"
"190",283,"3","2014","herg"
"191",161,"3","2014","herg"
"192",909,"3","2014","herg"
"193",184,"3","2014","herg"
"194",379,"2","2014","herg"
"195",490,"3","2014","herg"
"196",171,"2","2014","herg"
"197",452,"3","2014","herg"
"198",910,"4","2014","herg"
"199",149,"3","2014","herg"
"200",227,"3","2014","herg"
"201",434,"1","2014","herg"
"202",34,"3","2014","gbbg"
"203",249,"3","2014","herg"
"204",269,"3","2014","herg"
"205",282,"3","2014","gbbg"
"206",136,"3","2014","gbbg"
"207",391,"3","2014","herg"
"208",448,"3","2014","herg"
"209",131,"2","2014","gbbg"
"210",157,"3","2014","gbbg"
"211",195,"5","2014","herg"
"212",69,"3","2014","herg"
"213",911,"3","2014","herg"
"214",256,"3","2014","herg"
"215",139,"3","2014","herg"
"216",172,"3","2014","gbbg"
"217",437,"3","2014","gbbg"
"218",296,"3","2014","herg"
"219",20,"3","2014","gbbg"
"220",51,"3","2014","herg"
"221",73,"3","2014","herg"
"222",283,"3","2014","gbbg"
"223",274,"3","2014","gbbg"
"224",124,"3","2014","gbbg"
"225",78,"3","2014","gbbg"
"226",468,"2","2014","gbbg"
"227",271,"3","2014","gbbg"
"228",912,"3","2014","gbbg"
"229",179,"2","2014","gbbg"
"230",608,"3","2014","herg"
"231",609,"3","2014","gbbg"
"232",610,"3","2014","herg"
"233",65,"1","2014","gbbg"
"234",447,"1","2014","gbbg"
"235",87,"3","2014","gbbg"
"236",79,"1","2014","herg"
"237",186,"2","2014","gbbg"
"238",NA,"5","2014","herg"
"239",396,"3","2014","gbbg"
"240",272,"3","2014","gbbg"
"241",154,"3","2014","herg"
"242",160,"3","2014","herg"
"243",84,"3","2014","herg"
"244",278,"3","2014","gbbg"
"245",907,"3","2014","herg"
"246",97,"3","2014","herg"
"247",502,"3","2014","gbbg"
"248",53,"3","2014","herg"
"249",347,"3","2014","herg"
"250",165,"3","2014","herg"
"251",315,"2","2014","herg"
"252",96,"3","2014","herg"
"253",44,"3","2014","gbbg"
"254",223,"3","2014","herg"
"255",14,"2","2014","herg"
"256",513,"3","2014","gbbg"
"257",321,"4","2014","coei"
"258",399,"3","2014","herg"
"259",516,"3","2014","herg"
"260",390,"3","2014","gbbg"
"261",493,"1","2014","gbbg"
"262",905,"3","2014","herg"
"263",906,"3","2014","herg"
"264",513,"3","2014","gbbg"
"265",155,"3","2014","herg"
"266",486,"2","2014","herg"
"267",422,"3","2014","herg"
"268",123,"3","2014","herg"
"269",907,"3","2014","herg"
"270",88,"2","2014","herg"
"271",68,"3","2014","herg"
"272",64,"1","2014","herg"
"273",349,"3","2014","herg"
"274",428,"2","2014","herg"
"275",9,"2","2014","herg"
"276",56,"3","2014","herg"
"277",511,"2","2014","gbbg"
"278",159,"3","2014","herg"
"279",119,"2","2014","herg"
"280",327,"1","2014","herg"
"281",517,"3","2014","herg"
"282",86,"2","2014","herg"
"283",312,"3","2014","herg"
"284",482,"3","2014","herg"
"285",18,"2","2014","herg"
"286",50,"3","2014","herg"
"287",325,"3","2014","herg"
"288",344,"3","2014","herg"
"289",77,"3","2014","herg"
"290",90,"3","2014","herg"
"291",32,"3","2014","herg"
"292",82,"3","2014","herg"
"293",314,"3","2014","herg"
"294",244,"3","2014","herg"
"295",340,"3","2014","herg"
"296",510,"3","2014","herg"
"297",501,"3","2014","gbbg"
"298",400,"3","2014","gbbg"
"299",455,"2","2014","herg"
"300",277,"3","2014","gbbg"
"301",433,"3","2014","herg"
"302",423,"3","2014","herg"
"303",430,"3","2014","gbbg"
"304",913,"3","2014","herg"
"305",52,"3","2014","herg"
"306",132,"1","2014","herg"
"307",320,"2","2014","herg"
"308",99,"2","2014","herg"
"309",345,"3","2014","herg"
"310",226,"3","2014","herg"
"311",239,"3","2014","gbbg"
"312",75,"2","2014","herg"
"313",266,"3","2014","gbbg"
"314",140,"3","2014","herg"
"315",240,"2","2014","herg"
"316",29,"2","2014","herg"
"317",433,"3","2014","herg"
"318",243,"3","2014","herg"
"319",435,"2","2014","herg"
"320",176,"3","2014","herg"
"321",507,"3","2014","gbbg"
"322",460,"3","2014","herg"
"323",464,"2","2014","herg"
"324",477,"3","2014","herg"
"325",488,"2","2014","herg"
"326",62,"2","2014","herg"
"327",92,"3","2014","herg"
"328",505,"1","2014","gbbg"
"329",204,"1","2014","herg"
"330",81,"3","2014","herg"
"331",112,"2","2014","herg"
"332",462,"2","2014","herg"
"333",93,"3","2014","herg"
"334",356,"3","2014","herg"
"335",238,"2","2014","gbbg"
"336",509,"3","2014","herg"
"337",76,"3","2014","herg"
"338",166,"3","2014","herg"
"339",355,"2","2014","herg"
"340",230,"3","2014","gbbg"
"341",28,"3","2014","herg"
"342",258,"3","2014","herg"
"343",102,"3","2014","herg"
"344",101,"3","2014","herg"
"345",197,"3","2014","herg"
"346",233,"3","2014","herg"
"347",216,"3","2014","gbbg"
"348",113,"3","2014","herg"
"349",174,"3","2014","herg"
"350",463,"3","2014","herg"
"351",151,"3","2014","herg"
"352",148,"3","2014","herg"
"353",354,"3","2014","herg"
"354",215,"3","2014","herg"
"355",394,"3","2014","herg"
"356",301,"1","2014","herg"
"357",360,"3","2014","herg"
"358",500,"3","2014","gbbg"
"359",483,"3","2014","gbbg"
"360",83,"3","2014","herg"
"361",375,"3","2014","herg"
"362",352,"3","2014","herg"
"363",302,"3","2014","herg"
"364",503,"3","2014","herg"
"365",297,"4","2014","coei"
"366",167,"3","2014","herg"
"367",116,"3","2014","herg"
"368",45,"3","2014","herg"
"369",508,"3","2014","herg"
"370",437,"3","2014","gbbg"
"371",300,"3","2014","herg"
"372",133,"z","2014","herg"
"373",115,"3","2014","herg"
"374",178,"3","2014","herg"
"375",453,"3","2014","herg"
"376",506,"3","2014","herg"
"377",403,"3","2014","herg"
"378",26,"3","2014","herg"
"379",402,"3","2014","herg"
"380",436,"3","2014","herg"
"381",409,"3","2014","herg"
"382",465,"3","2014","herg"
"383",303,"3","2014","herg"
"384",362,"3","2014","herg"
"385",484,"3","2014","herg"
"386",129,"2","2014","herg"
"387",435,"2","2014","herg"
"388",NA,NA,"2014","herg"
"389",43,"3","2014","herg"
"390",174,"2","2014","gbbg"
"391",900,"1","2014","herg"
"392",901,"3","2014","herg"
"393",311,"3","2014","herg"
"394",317,"3","2014","herg"
"395",1,"3","2014","herg"
"396",408,"2","2014","herg"
"397",11,"3","2014","herg"
"398",376,"3","2014","herg"
"399",914,"3","2014","herg"
"400",915,"3","2014","herg"
"401",916,"4","2014","herg"
"402",917,"2","2014","herg"
"403",918,"2","2014","herg"
"404",21,"3","2014","herg"
"405",498,"3","2014","herg"
"406",23,"3","2014","herg"
"407",286,"3","2014","herg"
"408",471,"3","2014","herg"
"409",331,"3","2014","herg"
"410",338,"2","2014","herg"
"411",414,"3","2014","herg"
"412",213,"3","2014","herg"
"413",330,"1","2014","herg"
"414",116,"3","2014","herg"
"415",348,"3","2014","herg"
"416",231,"2","2014","herg"
"417",514,"2","2014","herg"
"418",378,"3","2014","herg"
"419",135,"3","2014","herg"
"420",188,"3","2014","herg"
"421",377,"3","2014","herg"
"422",487,"3","2014","herg"
"423",245,"3","2014","herg"
"424",919,"2","2014","herg"
"425",454,"3","2014","herg"
"426",427,"3","2014","herg"
"427",382,"3","2014","herg"
"428",373,"1","2014","herg"
"429",423,"3","2014","herg"
"430",112,"2","2014","gbbg"
"431",515,"3","2014","gbbg"
"432",225,"3","2014","herg"
"433",346,"3","2014","herg"
"434",253,"4","2014","herg"
"435",469,"1","2014","herg"
"436",494,"3","2014","herg"
"437",476,"3","2014","herg"
"438",60,"6","2014","coei"
"439",141,"3","2014","herg"
"440",47,"2","2014","herg"
"441",264,"3","2014","herg"
"442",442,"3","2014","herg"
"443",478,"2","2014","herg"
"444",323,"3","2014","herg"
"445",444,"2","2014","herg"
"446",49,"3","2014","herg"
"447",14,"2","2014","herg"
"448",214,"3","2014","herg"
"449",140,"3","2014","herg"
"450",247,"2","2014","herg"
"451",372,"3","2014","herg"
"452",237,"3","2014","herg"
"453",410,"3","2014","herg"
"454",262,"3","2014","herg"
"455",367,"3","2014","herg"
"456",366,"3","2014","herg"
"457",260,"3","2014","herg"
"458",203,"3","2014","herg"
"459",140,"2","2014","herg"
"460",98,"2","2014","herg"
"461",310,"3","2014","herg"
"462",397,"3","2014","herg"
"463",361,"3","2014","herg"
"464",369,"2","2014","herg"
