"","flag","clutch","location","year","species"
"1",18,2,"Generator Shed to Puffin Point","2020","herg"
"2",24,1,"Generator Shed to Puffin Point","2020","herg"
"3",286,2,"Generator Shed to Puffin Point","2020","herg"
"4",423,1,"Generator Shed to Puffin Point","2020","herg"
"5",302,3,"Generator Shed to Puffin Point","2020","herg"
"6",261,2,"Generator Shed to Puffin Point","2020","herg"
"7",288,3,"Generator Shed to Puffin Point","2020","herg"
"8",494,1,"Generator Shed to Puffin Point","2020","herg"
"9",25,3,"Generator Shed to Puffin Point","2020","herg"
"10",499,3,"Generator Shed to Puffin Point","2020","herg"
"11",495,3,"Generator Shed to Puffin Point","2020","herg"
"12",269,2,"Generator Shed to Puffin Point","2020","herg"
"13",389,3,"Generator Shed to Puffin Point","2020","herg"
"14",5,1,"Generator Shed to Puffin Point","2020","herg"
"15",390,3,"Generator Shed to Puffin Point","2020","herg"
"16",263,3,"Generator Shed to Puffin Point","2020","herg"
"17",485,3,"Generator Shed to Puffin Point","2020","herg"
"18",420,3,"Generator Shed to Puffin Point","2020","herg"
"19",314,3,"Generator Shed to Puffin Point","2020","herg"
"20",264,2,"Generator Shed to Puffin Point","2020","herg"
"21",486,3,"Generator Shed to Puffin Point","2020","herg"
"22",369,3,"Generator Shed to Puffin Point","2020","herg"
"23",493,3,"Generator Shed to Puffin Point","2020","herg"
"24",492,3,"Generator Shed to Puffin Point","2020","herg"
"25",287,1,"Generator Shed to Puffin Point","2020","herg"
"26",395,2,"Generator Shed to Puffin Point","2020","herg"
"27",496,2,"Generator Shed to Puffin Point","2020","herg"
"28",3,2,"Generator Shed to Puffin Point","2020","herg"
"29",488,1,"Generator Shed to Puffin Point","2020","herg"
"30",381,3,"Generator Shed to Puffin Point","2020","herg"
"31",497,3,"Generator Shed to Puffin Point","2020","herg"
"32",285,1,"Generator Shed to Puffin Point","2020","herg"
"33",388,3,"Generator Shed to Puffin Point","2020","herg"
"34",299,3,"Generator Shed to Puffin Point","2020","herg"
"35",481,2,"Generator Shed to Puffin Point","2020","herg"
"36",487,3,"Generator Shed to Puffin Point","2020","herg"
