"","flag","clutch","location","year","species"
"1","229",3,"East Side","2019","herg"
"2","249",3,"East Side","2019","herg"
"3","590",2,"East Side","2019","herg"
"4","263",3,"East Side","2019","herg"
"5","514",2,"East Side","2019","herg"
"6","37",3,"East Side","2019","herg"
"7","11",2,"East Side","2019","herg"
"8","41",2,"East Side","2019","herg"
"9","274",3,"East Side","2019","herg"
"10","570",3,"East Side","2019","herg"
"11","300",3,"East Side","2019","herg"
"12","32",3,"East Side","2019","herg"
"13","553",3,"East Side","2019","herg"
"14","594",3,"East Side","2019","herg"
"15","282",2,"East Side","2019","herg"
"16","9",3,"East Side","2019","herg"
"17","598",3,"East Side","2019","herg"
"18","586",3,"East Side","2019","herg"
"19","252",1,"East Side","2019","herg"
"20","25",2,"East Side","2019","herg"
"21","596",2,"East Side","2019","herg"
"22","592",3,"East Side","2019","herg"
"23","269",2,"East Side","2019","herg"
"24","288",3,"East Side","2019","herg"
"25","48",3,"East Side","2019","herg"
"26","284",1,"East Side","2019","herg"
"27","578",3,"East Side","2019","herg"
"28","289",2,"East Side","2019","herg"
"29","250",3,"East Side","2019","herg"
"30","254",3,"East Side","2019","herg"
"31","253",2,"East Side","2019","herg"
"32","30",3,"East Side","2019","herg"
"33","296",3,"East Side","2019","herg"
"34","297",3,"East Side","2019","herg"
"35","558",1,"East Side","2019","herg"
"36","539",1,"East Side","2019","herg"
"37","247",3,"East Side","2019","herg"
"38","259",2,"East Side","2019","herg"
"39","591",2,"East Side","2019","herg"
"40","256",3,"East Side","2019","herg"
"41","600",3,"East Side","2019","herg"
"42","278",3,"East Side","2019","herg"
"43","283",3,"East Side","2019","herg"
"44","267",3,"East Side","2019","herg"
"45","568",3,"East Side","2019","herg"
"46","537",3,"East Side","2019","herg"
"47","80",2,"East Side","2019","herg"
"48","273",3,"East Side","2019","herg"
"49","295",3,"East Side","2019","herg"
"50","571",3,"East Side","2019","herg"
"51","205",3,"East Side","2019","herg"
"52","275",3,"East Side","2019","herg"
"53","248",3,"East Side","2019","herg"
"54","243",2,"East Side","2019","herg"
"55","559",3,"East Side","2019","herg"
"56","257",3,"East Side","2019","herg"
"57","241",3,"East Side","2019","herg"
"58","262",3,"East Side","2019","herg"
"59","298",2,"East Side","2019","herg"
"60","1",3,"East Side","2019","herg"
"61","67",2,"East Side","2019","herg"
"62","16",2,"East Side","2019","herg"
"63","524",1,"East Side","2019","herg"
"64","22",2,"East Side","2019","herg"
"65","204",3,"East Side","2019","herg"
"66","224",3,"East Side","2019","herg"
"67","287",3,"East Side","2019","herg"
"68","572",2,"East Side","2019","herg"
"69","51",2,"East Side","2019","herg"
"70","203",3,"East Side","2019","herg"
"71","260",3,"East Side","2019","herg"
"72","557",2,"East Side","2019","herg"
"73","268",2,"East Side","2019","herg"
"74","244",1,"East Side","2019","herg"
"75","26",3,"East Side","2019","herg"
"76","521",3,"East Side","2019","herg"
"77","258",1,"East Side","2019","herg"
"78","74",3,"East Side","2019","herg"
"79","236",3,"East Side","2019","herg"
"80","573",1,"East Side","2019","herg"
"81","289",3,"East Side","2019","herg"
"82","277",3,"East Side","2019","herg"
"83","92",3,"East Side","2019","herg"
"84","582",3,"East Side","2019","herg"
"85","238",3,"East Side","2019","herg"
"86","286",2,"East Side","2019","herg"
"87","588",3,"East Side","2019","herg"
"88","93",2,"East Side","2019","herg"
"89","527",2,"East Side","2019","herg"
"90","234",1,"East Side","2019","herg"
"91","560",3,"East Side","2019","herg"
"92","561",3,"East Side","2019","herg"
"93","595",3,"East Side","2019","herg"
"94","56",1,"East Side","2019","herg"
"95","593",3,"East Side","2019","herg"
"96","510",2,"East Side","2019","herg"
"97","68",3,"East Side","2019","herg"
"98","276",2,"East Side","2019","herg"
"99","242",3,"East Side","2019","herg"
"100","575",3,"East Side","2019","herg"
"101","47",1,"East Side","2019","herg"
"102","585",3,"East Side","2019","herg"
"103","240",3,"East Side","2019","herg"
"104","292",3,"East Side","2019","herg"
"105","239",2,"East Side","2019","herg"
"106","599",2,"East Side","2019","herg"
"107","75",1,"East Side","2019","herg"
"108","33",2,"East Side","2019","herg"
"109","255",3,"East Side","2019","herg"
"110","31",4,"East Side","2019","herg"
"111","581",3,"East Side","2019","herg"
"112","534",3,"East Side","2019","herg"
"113","597",3,"East Side","2019","herg"
"114","59",1,"East Side","2019","herg"
"115","13",3,"East Side","2019","herg"
"116","531",2,"East Side","2019","herg"
"117","587",2,"East Side","2019","herg"
"118","290",3,"East Side","2019","herg"
"119","261",3,"East Side","2019","herg"
"120","501",3,"East Side","2019","herg"
"121","95",2,"East Side","2019","herg"
"122","509",2,"East Side","2019","herg"
"123","579",2,"East Side","2019","herg"
"124","291",3,"East Side","2019","herg"
"125","232",2,"East Side","2019","herg"
"126","100",2,"East Side","2019","herg"
"127","589",2,"East Side","2019","herg"
"128","265",2,"East Side","2019","herg"
"129","584",3,"East Side","2019","herg"
"130","266",1,"East Side","2019","herg"
"131","40",2,"East Side","2019","herg"
"132","293",1,"East Side","2019","herg"
"133","583",3,"East Side","2019","herg"
"134","23",3,"East Side","2019","herg"
"135","280",1,"East Side","2019","herg"
"136","580",2,"East Side","2019","herg"
"137","272",2,"East Side","2019","herg"
"138","567",3,"East Side","2019","herg"
"139","264",3,"East Side","2019","herg"
"140","505",3,"East Side","2019","herg"
"141","222",3,"East Side","2019","herg"
"142","99",3,"East Side","2019","herg"
"143","233",3,"East Side","2019","herg"
"144","60",3,"East Side","2019","herg"
"145","219",3,"East Side","2019","herg"
"146","64",2,"East Side","2019","herg"
"147","220",2,"East Side","2019","herg"
"148","565",2,"East Side","2019","gbbg"
"149","17",2,"East Side","2019","herg"
"150","530",2,"East Side","2019","herg"
"151","218",3,"East Side","2019","herg"
"152","209",3,"East Side","2019","herg"
"153","502",3,"East Side","2019","herg"
"154","223",2,"East Side","2019","herg"
"155","577",3,"East Side","2019","herg"
"156","42",3,"East Side","2019","herg"
"157","511",1,"East Side","2019","herg"
"158","36",2,"East Side","2019","herg"
"159","508",2,"East Side","2019","herg"
"160","34",2,"East Side","2019","herg"
"161","211",2,"East Side","2019","herg"
"162","62",3,"East Side","2019","herg"
"163","566",3,"East Side","2019","herg"
"164","57",3,"East Side","2019","herg"
"165","214",3,"East Side","2019","herg"
"166","279",2,"East Side","2019","herg"
"167","515",3,"East Side","2019","herg"
"168","271",3,"East Side","2019","herg"
"169","516",2,"East Side","2019","herg"
"170","202",3,"East Side","2019","herg"
"171","520",3,"East Side","2019","herg"
"172","562",2,"East Side","2019","herg"
"173","90",2,"East Side","2019","herg"
"174","209",3,"East Side","2019","herg"
"175","569",3,"East Side","2019","herg"
"176","555",3,"East Side","2019","herg"
"177","532",2,"East Side","2019","herg"
"178","43",3,"East Side","2019","herg"
"179","576",3,"East Side","2019","herg"
"180","563",3,"East Side","2019","herg"
"181","556",3,"East Side","2019","herg"
"182","517",3,"East Side","2019","herg"
"183","50",2,"East Side","2019","herg"
"184","564",2,"East Side","2019","herg"
"185","61",3,"East Side","2019","herg"
"186","574",3,"East Side","2019","herg"
"187","518",3,"East Side","2019","herg"
"188","507",2,"East Side","2019","herg"
"189","246",3,"East Side","2019","herg"
"190","38",2,"East Side","2019","herg"
"191","554",2,"East Side","2019","herg"
"192","245",2,"East Side","2019","herg"
"193","503",3,"East Side","2019","herg"
"194","216",2,"East Side","2019","herg"
"195","504",2,"East Side","2019","herg"
"196","229",3,"East Side","2019","herg"
"197","512",1,"East Side","2019","herg"
"198","506",2,"East Side","2019","herg"
"199","52",1,"East Side","2019","herg"
"200","522",3,"East Side","2019","herg"
"201","506",2,"East Side","2019","gbbg"
"202","27",2,"East Side","2019","gbbg"
"203","201",3,"East Side","2019","herg"
"204","226",3,"East Side","2019","herg"
"205","230",3,"East Side","2019","herg"
"206","10",3,"East Side","2019","herg"
"207","89",3,"East Side","2019","herg"
"208","215",2,"East Side","2019","herg"
"209","35",2,"East Side","2019","gbbg"
"210","217",3,"East Side","2019","herg"
"211","237",2,"East Side","2019","herg"
"212","538",2,"East Side","2019","herg"
"213","65",2,"East Side","2019","herg"
"214","98",3,"East Side","2019","herg"
"215","520",3,"East Side","2019","herg"
"216","53",5,"East Side","2019","coei"
"217","55",3,"East Side","2019","herg"
"218","533",3,"East Side","2019","herg"
"219","228",3,"East Side","2019","herg"
"220","544",3,"East Side","2019","herg"
"221","221",3,"East Side","2019","herg"
