"","flag","clutch","comment","location","...5","...6","...7","year"
"1",596,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"2",584,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"3",526,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"4",599,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"5",446,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"6",197,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"7",27,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"8",845,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"9",265,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"10",501,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"11",54,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"12",187,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"13",582,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"14",259,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"15",838,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"16",442,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"17",186,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"18",322,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"19",571,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"20",78,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"21",542,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"22",842,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"23",586,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"24",316,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"25",255,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"26",843,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"27",149,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"28",26,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"29",520,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"30",443,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"31",319,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"32",147,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"33",266,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"34",846,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"35",506,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"36",223,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"37",74,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"38",515,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"39",854,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"40",51,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"41",198,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"42",457,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"43",510,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"44",61,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"45",148,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"46",503,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"47",260,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"48",848,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"49",67,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"50",325,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"51",144,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"52",505,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"53",390,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"54",498,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"55",509,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"56",125,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"57",481,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"58",525,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"59",386,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"60",64,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"61",169,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"62",499,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"63",865,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"64",407,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"65",256,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"66",524,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"67",150,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"68",264,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"69",93,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"70",863,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"71",245,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"72",378,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"73",327,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"74",287,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"75",307,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"76",173,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"77",283,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"78",406,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"79",508,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"80",206,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"81",332,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"82",89,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"83",242,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"84",523,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"85",66,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"86",204,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"87",867,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"88",63,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
