"","Flag","clutch","comment","location","year","species"
"1",462,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"2",214,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"3",505,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"4",156,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"5",94,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"6",197,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"7",756,5,"COEI","Gen Shed -> Puffin Point","2022","coei"
"8",220,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"9",791,3,"COEI","Gen Shed -> Puffin Point","2022","coei"
"10",215,1,NA,"Gen Shed -> Puffin Point","2022","herg"
"11",15,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"12",470,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"13",643,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"14",202,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"15",378,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"16",702,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"17",578,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"18",602,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"19",271,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"20",563,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"21",154,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"22",686,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"23",411,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"24",384,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"25",194,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"26",267,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"27",798,2,"2 chicks","Gen Shed -> Puffin Point","2022","herg"
"28",697,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"29",788,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"30",710,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"31",126,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"32",647,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"33",500,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"34",266,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"35",390,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"36",450,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"37",629,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"38",441,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"39",794,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"40",625,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"41",205,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"42",767,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"43",491,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"44",273,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"45",799,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"46",795,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"47",432,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"48",211,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"49",796,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"50",496,1,NA,"Gen Shed -> Puffin Point","2022","herg"
"51",210,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"52",398,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"53",131,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"54",627,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"55",488,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"56",610,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"57",704,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"58",566,3,NA,"Gen Shed -> Puffin Point","2022","herg"
