flag,year,species,clutch
462,2022,herg,3
214,2022,herg,3
505,2022,herg,3
156,2022,herg,3
94,2022,herg,3
197,2022,herg,3
756,2022,coei,5
220,2022,herg,3
791,2022,coei,3
215,2022,herg,1
15,2022,herg,2
470,2022,herg,3
643,2022,herg,2
202,2022,herg,3
378,2022,herg,3
702,2022,herg,3
578,2022,herg,3
602,2022,herg,3
271,2022,herg,3
563,2022,herg,3
154,2022,herg,3
686,2022,herg,3
411,2022,herg,3
384,2022,herg,3
194,2022,herg,3
267,2022,herg,3
798,2022,herg,2
697,2022,herg,3
788,2022,herg,2
710,2022,herg,3
126,2022,herg,3
647,2022,herg,3
500,2022,herg,3
266,2022,herg,3
390,2022,herg,2
450,2022,herg,3
629,2022,herg,3
441,2022,herg,3
794,2022,herg,3
625,2022,herg,3
205,2022,herg,3
767,2022,herg,2
491,2022,herg,3
273,2022,herg,3
799,2022,herg,3
795,2022,herg,2
432,2022,herg,3
211,2022,herg,3
796,2022,herg,3
496,2022,herg,1
210,2022,herg,3
398,2022,herg,3
131,2022,herg,3
627,2022,herg,3
488,2022,herg,3
610,2022,herg,3
704,2022,herg,2
566,2022,herg,3
345,2022,herg,3
461,2022,herg,2
208,2022,herg,1
792,2022,herg,2
544,2022,herg,3
471,2022,herg,2
720,2022,herg,3
618,2022,herg,2
279,2022,herg,3
784,2022,herg,3
473,2022,herg,3
225,2022,herg,3
397,2022,herg,3
782,2022,herg,4
632,2022,herg,3
125,2022,herg,3
501,2022,herg,3
630,2022,herg,3
113,2022,herg,3
106,2022,herg,3
623,2022,herg,3
480,2022,herg,2
206,2022,herg,3
631,2022,herg,3
489,2022,herg,3
787,2022,herg,1
608,2022,herg,3
360,2022,herg,2
508,2022,herg,3
465,2022,herg,3
268,2022,herg,3
779,2022,herg,2
382,2022,herg,1
793,2022,herg,2
665,2022,herg,1
715,2022,herg,3
283,2022,herg,3
104,2022,herg,3
485,2022,herg,2
644,2022,herg,2
492,2022,herg,2
350,2022,herg,1
276,2022,herg,3
121,2022,herg,3
371,2022,herg,3
716,2022,herg,2
646,2022,herg,3
475,2022,herg,3
343,2022,herg,3
428,2022,herg,3
638,2022,herg,3
466,2022,herg,3
370,2022,herg,3
74,2022,herg,3
611,2022,herg,3
377,2022,herg,3
510,2022,herg,3
274,2022,herg,2
459,2022,herg,1
711,2022,gbbg,2
317,2022,herg,3
575,2022,herg,3
84,2022,herg,3
333,2022,herg,3
316,2022,herg,3
278,2022,herg,3
542,2022,herg,2
472,2022,herg,3
565,2022,herg,3
649,2022,herg,3
127,2022,herg,3
78,2022,herg,3
280,2022,herg,1
694,2022,herg,2
243,2022,herg,3
62,2022,herg,3
199,2022,herg,3
244,2022,herg,2
246,2022,herg,3
693,2022,herg,3
551,2022,herg,3
262,2022,herg,2
336,2022,gbbg,3
620,2022,herg,3
105,2022,herg,3
574,2022,herg,3
260,2022,herg,3
352,2022,herg,3
91,2022,herg,3
609,2022,herg,3
245,2022,herg,3
61,2022,herg,2
69,2022,herg,3
622,2022,herg,3
556,2022,coei,5
634,2022,herg,1
218,2022,herg,3
63,2022,herg,3
403,2022,herg,3
213,2022,herg,3
68,2022,herg,3
101,2022,herg,3
37,2022,herg,3
256,2022,herg,2
42,2022,herg,3
230,2022,herg,2
568,2022,herg,3
604,2022,herg,2
261,2022,herg,3
652,2022,herg,2
564,2022,herg,3
449,2022,herg,3
673,2022,herg,3
339,2022,herg,3
335,2022,herg,3
418,2022,herg,3
419,2022,herg,3
29,2022,herg,3
752,2022,herg,2
364,2022,herg,2
75,2022,herg,3
238,2022,herg,3
36,2022,herg,3
203,2022,herg,3
671,2022,herg,3
355,2022,herg,3
53,2022,herg,3
613,2022,herg,3
738,2022,herg,3
277,2022,herg,3
33,2022,herg,3
307,2022,herg,2
790,2022,herg,3
518,2022,herg,3
744,2022,herg,2
442,2022,herg,3
281,2022,herg,1
734,2022,herg,3
253,2022,herg,3
591,2022,herg,3
616,2022,herg,2
291,2022,herg,3
298,2022,herg,3
714,2022,gbbg,3
170,2022,herg,2
275,2022,herg,3
270,2022,herg,3
124,2022,herg,3
691,2022,herg,3
789,2022,herg,3
434,2022,herg,3
12,2022,herg,3
240,2022,herg,3
289,2022,herg,1
118,2022,herg,3
706,2022,herg,3
487,2022,herg,3
670,2022,herg,3
329,2022,herg,2
128,2022,herg,3
122,2022,herg,3
399,2022,herg,2
196,2022,herg,3
254,2022,herg,3
669,2022,herg,3
387,2022,herg,3
753,2022,herg,3
729,2022,herg,3
405,2022,herg,2
733,2022,herg,3
369,2022,herg,2
231,2022,herg,3
45,2022,herg,3
498,2022,herg,3
112,2022,herg,2
52,2022,herg,3
713,2022,herg,3
3,2022,herg,3
494,2022,herg,2
165,2022,herg,3
1,2022,herg,2
721,2022,herg,3
116,2022,herg,3
447,2022,herg,3
110,2022,herg,3
119,2022,herg,3
640,2022,herg,3
737,2022,herg,3
532,2022,herg,2
41,2022,herg,2
726,2022,herg,3
394,2022,herg,3
567,2022,herg,3
736,2022,herg,3
484,2022,herg,2
272,2022,herg,3
435,2022,herg,3
617,2022,herg,2
431,2022,herg,2
754,2022,herg,3
423,2022,herg,3
109,2022,herg,3
658,2022,herg,1
4,2022,herg,3
407,2022,herg,3
237,2022,herg,1
429,2022,herg,3
679,2022,herg,3
341,2022,herg,3
18,2022,herg,2
416,2022,herg,3
580,2022,herg,3
102,2022,herg,3
249,2022,herg,3
70,2022,herg,3
633,2022,herg,0
251,2022,herg,251
684,2022,herg,1
226,2022,herg,3
158,2022,herg,1
48,2022,herg,3
444,2022,herg,3
242,2022,herg,3
478,2022,herg,3
259,2022,herg,3
482,2022,herg,3
153,2022,herg,1
162,2022,herg,2
476,2022,herg,3
46,2022,herg,3
287,2022,herg,3
468,2022,herg,3
65,2022,herg,3
557,2022,herg,3
86,2022,herg,3
166,2022,herg,3
558,2022,herg,3
326,2022,herg,3
31,2022,herg,3
477,2022,herg,2
264,2022,herg,3
82,2022,herg,2
626,2022,herg,3
76,2022,herg,3
100,2022,herg,3
