"","BurrowID","Bird","Band","Weight","Band.Year","Chord","Chick.band","Initial.notes","End.Season.Notes"
"1","E01","Bird 1","2941-47115",47,2022,16.5,NA,"Egg",NA
"2","E01","Bird 2","2941-47134",47,2022,16.5,NA,"Egg",NA
"3","E02","Bird 1","2661-34228",46,2021,15.9,"3011-25704","Egg",NA
"4","E02","Bird 2","2661-34220",52,2021,15.9,"3011-25704","Egg",NA
"5","E03","Bird 1","2661-34226",44,2021,16,NA,"egg laid 7/6",NA
"6","E03","Bird 2","2941-47114",40,2022,15.6,NA,"egg laid 7/6",NA
"7","E04","Bird 1","2661-34224",NA,2021,15.9,NA,"",NA
"8","E04","Bird 2","2941-47118",50,2022,15,NA,"",NA
"9","E05","Bird 1","",NA,NA,NA,NA,"Unattended egg found 11 July",NA
"10","E05","Bird 2","",NA,NA,NA,NA,"Unattended egg found 11 July",NA
"11","N06","Bird 1","1961-19764",46,2020,16.1,"3011-25710","Double-banded bird…same pair as last year",NA
"12","N06","Bird 2","1961-19768/2661-34268",47,2020,16.6,"3011-25710","Double-banded bird…same pair as last year",NA
"13","E07","Bird 1","2941-47132",48,NA,15.8,"","Both birds only have one leg…",NA
"14","E07","Bird 2","2661-34253",50,2021,16.4,"","Both birds only have one leg…",NA
"15","N08","Bird 1","2941-47113",53,2022,16.6,"","Triggers stick tests daily. Egg and incubating adult found 6/16. Very cold, buried egg found 7/3 despite signs of activity.",NA
"16","N08","Bird 2","",NA,NA,NA,"","Triggers stick tests daily. Egg and incubating adult found 6/16. Very cold, buried egg found 7/3 despite signs of activity.",NA
"17","N09","Bird 1","2661-34249",43,2021,16.6,"3011-25715","",NA
"18","N09","Bird 2","2661-34211",48,2020,15.3,"3011-25715","",NA
"19","E10","Bird 1","2941-47124",43,2022,15.5,"","",NA
"20","E10","Bird 2","2941-47126",53,2022,15.9,"","",NA
"21","E11","Bird 1","2661-34251",51,2021,16.1,"3011-25713","",NA
"22","E11","Bird 2","2661-34231",50,2021,15.8,"3011-25713","",NA
"23","E12","Bird 1","2661-34252",42,2021,15.4,"","egg",NA
"24","E12","Bird 2","2661-34232",60,2021,16.3,"","egg",NA
"25","E13","Bird 1","2661-34242",50,2021,15.9,"3011-25728","",NA
"26","E13","Bird 2","2941-47128",48,2022,15.8,"3011-25728","",NA
"27","N14","Bird 1","1996-19733",47,2020,16.4,"","",NA
"28","N14","Bird 2","2661-34234",51,2021,15.8,"","",NA
