Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes,GISID,longitude,latitude
M28,15,8/20/2022,EG/LS/HA,3,0,1,4,,M28 15,-68.24591013,44.14558494
P34,21,8/12/2022,EG/LS,0,1,1,2,,P34 21,-68.24457755,44.14269861
K22,6,6/12/2022,"LS, EG",0,0,1,1,,K22 6,-68.24762501,44.14838726
N07,3,7/21/2022,EG/LS,0,0,0,0,,N07 3,-68.24541233,44.15521513
J19,9,7/8/2022,EG/LS,0,0,0,0,,J19 9,-68.24785792,44.14973928
O35,10,8/11/2022,EG/LS,2,0,0,2,,O35 10,-68.24472035,44.14252257
F22,5,7/10/2022,EG/LS,0,0,0,0,,F22 5,-68.2502495,44.14849455
L36,9,8/13/2022,EG/LS,0,0,0,0,,L36 9,-68.24670492,44.14207892
L09,24,6/25/2022,EG/LS/JM,0,0,0,0,,L09 24,-68.24660385,44.15397486
F20,17,7/9/2022,EG/LS,0,3,4,7,,F20 17,-68.25061662,44.14912718
G21,8,6/28/2022,EG/LS,0,0,0,0,,G21 8,-68.24986985,44.14885218
O33,7,8/11/2022,EG/LS,0,0,0,0,,O33 7,-68.2450625,44.14341856
K06,16,7/12/2022,EG/LS,2,3,0,5,,K06 16,-68.24753579,44.1554092
D19,16,7/9/2022,EG/LS/JM,5,6,3,14,,D19 16,-68.25194934,44.14960324
M05,4,8/18/2022,EG/LS/HA,2,2,1,5,,M05 4,-68.24590104,44.15611868
K35,14,8/13/2022,EG/LS,1,4,4,9,,K35 14,-68.24732543,44.14244314
O29,13,6/11/2022,EG,2,1,3,6,,O29 13,-68.24491567,44.14512821
L06,11,7/12/2022,EG/LS,14,2,0,16,,L06 11,-68.24690942,44.15549511
K21,24,6/12/2022,EG,0,2,0,2,,K21 24,-68.24724763,44.14856484
L08,24,6/25/2022,EG/LS/JM,0,0,0,0,,L08 24,-68.24654804,44.15441234
M17,21,7/4/2022,EG/LS,0,3,5,8,1 death,M17 21,-68.24637559,44.15035652
E07,25,6/17/2022,EG/LS,0,0,0,0,,E07 25,-68.25079379,44.15489042
L07,21,6/25/2022,EG/LS,0,0,0,0,1 pair wings,L07 21,-68.24691744,44.15486494
M05,19,8/18/2022,EG/LS/HA,6,4,5,15,1 death,M05 19,-68.24590448,44.15584861
E18,20,7/30/2022,EG/LS,0,1,2,3,1 death,E18 20,-68.25085529,44.15002907
K33,9,6/11/2022,EG,0,0,1,1,2 HERG nests,K33 9,-68.24731284,44.14343341
I06,20,7/12/2022,EG/LS,0,0,0,0,1 death,I06 20,-68.2482872,44.15532412
J13,5,7/25/2022,EG/LS/JM,0,0,0,0,,J13 5,-68.24769744,44.15252923
M24,6,6/23/2022,EG,0,1,1,2,,M24 6,-68.24638617,44.14747877
J28,10,6/29/2022,EG/LS,0,0,0,0,,J28 10,-68.24778434,44.14568733
N28,6,6/18/2022,EG/LS,0,0,0,0,,N28 6,-68.24578396,44.14567414
I12,18,7/28/2022,EG/LS/AP,0,0,0,0,,I12 18,-68.24857042,44.15271504
L20,14,7/7/2022,EG/LS/JM,1,4,2,7,,L20 14,-68.24661447,44.14919089
I28,15,7/16/2022,EG/LS,0,0,0,0,,I28 15,-68.2484106,44.14560142
O31,8,6/18/2022,EG/LS,0,0,0,0,,O31 8,-68.244926,44.14431799
