"","date","species","count","notes","year"
"1",2000-06-08,"herg",136,"cormorant off south point, eagle at 7:20",2000
"2",2000-06-08,"coei_ad",36,"cormorant off south point, eagle at 7:20",2000
"3",2000-06-08,"blgu",347,"cormorant off south point, eagle at 7:20",2000
"4",2000-06-09,"herg",142,NA,2000
"5",2000-06-09,"coei_ad",33,NA,2000
"6",2000-06-09,"coei_ju",3,NA,2000
"7",2000-06-09,"blgu",273,NA,2000
"8",2000-06-10,"herg",122,"Lots of commorants",2000
"9",2000-06-10,"coei_ad",64,"Lots of commorants",2000
"10",2000-06-10,"blgu",402,"Lots of commorants",2000
"11",2000-06-11,"herg",67,NA,2000
"12",2000-06-11,"coei_ad",88,NA,2000
"13",2000-06-11,"blgu",297,NA,2000
"14",2000-06-12,"herg",88,NA,2000
"15",2000-06-12,"coei_ad",63,NA,2000
"16",2000-06-12,"coei_ju",8,NA,2000
"17",2000-06-12,"blgu",249,NA,2000
"18",2000-06-13,"herg",148,NA,2000
"19",2000-06-13,"coei_ad",91,NA,2000
"20",2000-06-13,"coei_ju",17,NA,2000
"21",2000-06-13,"blgu",274,NA,2000
"22",2000-06-14,"herg",102,"18 commorants",2000
"23",2000-06-14,"coei_ad",57,"18 commorants",2000
"24",2000-06-14,"coei_ju",13,"18 commorants",2000
"25",2000-06-14,"blgu",231,"18 commorants",2000
"26",2000-06-14,"dcco",18,"18 commorants",2000
"27",2000-06-15,"herg",104,"Sharp shinned Hawk",2000
"28",2000-06-15,"coei_ad",55,"Sharp shinned Hawk",2000
"29",2000-06-15,"coei_ju",16,"Sharp shinned Hawk",2000
"30",2000-06-15,"blgu",333,"Sharp shinned Hawk",2000
"31",2000-06-18,"herg",93,NA,2000
"32",2000-06-18,"coei_ad",47,NA,2000
"33",2000-06-18,"coei_ju",4,NA,2000
"34",2000-06-18,"blgu",298,NA,2000
"35",2000-06-19,"herg",130,NA,2000
"36",2000-06-19,"coei_ad",77,NA,2000
"37",2000-06-19,"coei_ju",23,NA,2000
